START JOB HllUpdateSpeedProfile
Date Time: 2025/02/13 18:11:21 PST
InU	Trials	nS/Set
1	16777216	9.170134544372559
2	16777216	5.4536329209804535
3	16777216	3.868064145160425
4	16777216	4.700131967663765
5	16777216	4.803108275267906
6	16777216	5.2907729644406665
7	16777216	5.984812284672012
8	16777216	7.886754162609577
9	16777216	9.896974504245364
10	16777216	10.2395337352108
11	16777216	10.272617210218382
12	16777216	10.380274806832924
13	16777216	10.499011579323332
14	16777216	11.003281863290136
15	16777216	11.398539070503988
16	16777216	11.506064347922802
17	15552804	11.77688365221366
18	14480356	12.15781074554178
19	13534053	12.436215886562792
20	12693529	12.83960842176476
21	11942513	13.347862920374844
22	11267862	13.674878150275013
23	10658843	14.108265360374245
24	10106617	14.544790738141263
25	9603838	15.666297877984238
26	9144357	15.580662663296147
27	8722985	15.487052906656738
28	8335321	15.31800794349913
29	7977602	15.202105122395038
31	7339521	15.114465741682594
32	7053950	15.074954719518852
33	6787775	15.016400196751151
35	6306447	15.017987800947104
36	6088239	15.070086632163918
38	5690368	15.023690975381552
40	5336971	15.057804609577188
41	5174758	15.137722490212878
43	4875670	15.200864954655595
45	4606321	15.2382852076556
47	4362621	15.350286610552198
49	4141186	19.806698750292515
52	3844728	19.26357107125772
54	3667563	18.9316998728353
56	3504570	18.810020967123453
59	3283256	18.51507326571124
61	3149253	18.32849704740723
64	2965820	18.168689392815477
67	2800763	18.028771328531242
70	2651534	17.8267189645815
73	2516032	17.712882084630913
76	2392505	17.695568870028428
79	2279481	17.63738159168481
83	2143000	17.539103992617587
87	2020555	17.489000982066212
91	1910152	17.557370263243655
95	1810153	17.578050206688758
99	1719197	21.437014713188713
103	1636150	21.054541554682526
108	1542020	20.773713117761268
112	1473490	20.496652553651277
117	1395203	20.18416072667283
123	1310655	19.897072819094067
128	1246974	19.737077962080605
134	1177575	19.471290284451815
140	1114833	19.209718540817004
146	1057861	19.087139060512975
152	1005924	18.98467443990964
159	950875	18.82628864340271
166	901020	18.63002646538379
173	855681	18.576979774056486
181	808670	18.5310038985264
189	766112	18.500316474654465
197	727423	22.36154661018412
206	687916	21.941538132007885
215	652111	21.514815957475722
225	616086	21.192284929921136
235	583492	20.82198368132435
245	553875	20.47908440992612
256	524288	20.16786428540945
267	497428	19.995414231045768
279	470830	19.769724570137893
292	444775	19.54931376724879
304	422939	19.368964135170533
318	399793	19.243464892405758
332	378832	19.21156386642719
347	358474	19.07912860499586
362	340004	19.003117789128297
378	322110	18.925108580490857
395	304876	25.219952656410875
412	289233	24.575873261241227
431	273384	23.916190135115986
450	259032	23.373840357770884
470	245328	22.81160672782597
490	232876	22.339979558174072
512	220435	21.851713346975867
535	208654	21.485693715182162
558	197959	21.06347739252755
583	187406	20.60042887779596
609	177459	20.210975312496778
636	168092	19.859605586982962
664	159279	19.453620681278363
693	150991	19.097703681827905
724	142954	18.761990962670286
756	135430	18.397432203980888
790	128184	18.106735560909748
825	121423	17.836666509440164
861	115110	17.575255542564754
899	109061	17.322075340699207
939	103285	17.057946376339768
981	97787	16.834108703278197
1024	92681	16.578155377636058
1069	87830	16.38944652092366
1117	83138	16.179451233513202
1166	78794	16.067466543563594
1218	74612	15.87237953596687
1272	70674	15.721001474034797
1328	66968	15.535321570141495
1387	63427	15.408728612489817
1448	60104	15.272271743250647
1512	56941	15.109667202633265
1579	53937	14.96609946140563
1649	51090	14.880689625948083
1722	48398	14.80262527765722
1798	45854	14.754343027027812
1878	43426	14.607738295893492
1961	41140	14.545144649790778
2048	38967	14.471003083338145
2139	36906	14.532941364218432
2233	34975	14.447721682079294
2332	33129	14.256291586292566
2435	31386	14.223360864932602
2543	29729	14.152857837690537
2656	28156	14.136006034902183
2774	26667	14.180836447186548
2896	25270	14.234171664257765
3025	23931	14.112318922411085
3158	22677	14.166413266373509
3298	21481	14.085310910802859
3444	20348	14.194894591940036
3597	19272	14.144787054453404
3756	18258	14.154358627393623
3922	17297	14.104545974360313
4096	16384	14.146277323365211
4277	15521	14.263142665799137
4467	14701	14.23604524770289
4664	13929	14.21017492904178
4871	13193	14.23215992231199
5087	12496	14.32386887491819
5312	11838	14.191560447949723
5547	11214	14.226031668223314
5793	10622	14.186335708667205
6049	10063	14.217886876243792
6317	9533	14.181604285662052
6597	9029	14.166559748619989
6889	8554	14.164190179876652
7194	8103	14.040750960381528
7512	7676	13.936045734849268
7845	7271	13.84901755307737
8192	6888	13.765771402853014
8555	6525	13.682986597875729
8933	6181	13.544706532241747
9329	5855	13.422610430602232
9742	5547	13.397163493821157
10173	5254	13.226321205759293
10624	4977	13.019870981061098
11094	4715	12.869287230436687
11585	4466	12.695808430106652
12098	4231	12.511893045212327
12634	4008	12.335216854560628
13193	3796	12.192272748656405
13777	3596	12.00029314466572
14387	3407	11.823382648486911
15024	3227	11.677035676911359
15689	3057	11.49695011222903
16384	2896	11.279243342784229
17109	2743	11.157990710715545
17867	2598	10.919785091562447
18658	2462	10.800377116020288
19484	2332	10.614090974236513
20347	2209	10.48371792852581
21247	2092	10.283213664356246
22188	1982	10.15388009845962
23170	1878	9.996882513514285
24196	1779	9.852921303824642
25268	1685	9.727361662209605
26386	1596	9.62678423964863
27554	1512	9.459034817825746
28774	1432	9.304058346435502
30048	1357	9.180097449582995
31379	1285	8.996447275762383
32768	1217	8.928933788540919
34219	1153	8.786909211664971
35734	1092	8.695182438780973
37316	1035	8.570991190009018
38968	980	8.489696386150447
40693	928	8.301001368955262
42495	879	8.255514314004156
44376	833	8.108111822338461
46341	789	7.968385431969854
48393	747	7.897478147112725
50535	708	7.761194596350128
52773	671	7.701095485788854
55109	635	7.520211040596283
57549	602	7.481027838821621
60097	570	7.378503086676542
62757	540	7.250767068038453
65536	512	7.1566897332668304
68438	485	7.112266531856815
71468	459	6.99395981784068
74632	435	6.933997403967115
77936	412	6.868378964916201
81386	390	6.7877938119515235
84990	369	6.710828852493722
88752	350	6.619481734013236
92682	331	6.583688916870091
96785	314	6.425877963797228
101070	297	6.367803159393151
105545	282	6.304902651519347
110218	267	6.252820508324564
115098	253	6.178583234483044
120194	239	6.156497309823319
125515	227	6.085026571582351
131072	215	6.0231601094090665
136875	203	5.98084415952493
142935	193	5.936627159959475
149263	182	5.894716774352044
155872	173	5.834322448358397
162773	164	5.743461116656101
169979	155	5.7163276905743015
177505	147	5.663714023960617
185364	139	5.661574178218118
193571	132	5.5356568719675785
202141	125	5.492738514205431
211090	118	5.487449284625164
220436	112	5.44988146867377
230195	106	5.360136258553554
240387	100	5.401059624688525
251030	95	5.30938843543548
262144	90	5.279210832383898
273750	85	5.256429460112813
285870	81	5.22998280751805
298527	76	5.19596909421752
311744	72	5.157567943925498
325546	69	5.121663075375623
339959	65	5.105830861504341
355010	61	5.045867329528008
370728	58	5.018872466401614
387141	55	4.979109607939413
404281	52	5.020778245824068
422180	49	4.909645851803225
440872	47	4.931872299114752
460391	44	4.920268068584391
480774	42	4.927134757108924
502060	40	4.85902038600964
524288	38	4.863423297279759
547500	36	4.854955200405886
571740	34	4.752007802806296
597053	32	4.750411447978654
623487	30	4.801503533086228
651091	29	4.754738293640717
679917	27	4.6939507703527426
710020	26	4.705595942042802
