START JOB HllUpdateSpeedProfile
Date Time: 2025/02/13 18:36:30 PST
InU	Trials	nS/Set
1069	87830	24.94932321527852
1117	83138	24.598643682744417
1166	78794	24.265973095002238
1218	74612	23.79460056390807
1272	70674	23.492308180736227
1328	66968	23.23804894721776
1387	63427	22.913790134089037
1448	60104	22.629180748305306
1512	56941	22.410625441784717
1579	53937	22.121199218147126
1649	51090	21.878800107921496
1722	48398	21.638945951391737
1798	45854	21.490429858796503
1878	43426	21.252896803575773
1961	41140	21.060543889758335
2048	38967	20.831428939972444
2139	36906	20.66021111162554
2233	34975	20.43551475415846
2332	33129	20.281105781356143
2435	31386	20.151650777213916
2543	29729	20.017617752351715
2656	28156	19.905831024052933
2774	26667	19.77976506367967
2896	25270	19.79455629204575
3025	23931	19.54768575356504
3158	22677	19.352187490915686
3298	21481	19.256487060405306
3444	20348	19.17157580343704
3597	19272	19.211547377646017
3756	18258	19.10502742841873
3922	17297	18.97979584967522
4096	16384	18.88989168405533
4277	15521	18.86086181864093
4467	14701	18.842946087785705
4664	13929	18.70711632147687
4871	13193	18.674375185400024
5087	12496	18.698501924390175
5312	11838	18.67981475127583
5547	11214	18.556041102655893
5793	10622	18.5232046754042
6049	10063	18.466131580663625
6317	9533	18.396530113993247
6597	9029	18.30539145142169
6889	8554	18.29148850303446
7194	8103	18.047470517119944
7512	7676	17.89685582449708
7845	7271	17.7792591275802
8192	6888	17.62864688603028
8555	6525	17.494382465498255
8933	6181	17.364641171953835
9329	5855	17.153960337264014
9742	5547	16.991248522313853
10173	5254	16.857735163401355
10624	4977	16.674787418208016
11094	4715	16.45617770135886
11585	4466	16.25820212410035
12098	4231	16.07177904514852
12634	4008	15.859343802501098
13193	3796	15.643894441579251
13777	3596	15.410412079489857
14387	3407	15.22498609601106
15024	3227	15.001325572504117
15689	3057	14.841338906913508
16384	2896	14.629255473943047
17109	2743	14.420540943256569
17867	2598	14.239666450847366
18658	2462	14.04565356545225
19484	2332	13.94105584896503
20347	2209	13.69055285989531
21247	2092	13.494509493680868
22188	1982	13.365719272260556
23170	1878	13.168755822937625
24196	1779	12.991894817952428
25268	1685	12.8383381661937
26386	1596	12.682471713088551
27554	1512	12.488507583761427
28774	1432	12.33012793692165
30048	1357	12.188798855263176
31379	1285	12.095989275337553
32768	1217	11.89129410479631
34219	1153	11.719642422600794
35734	1092	11.578396622500287
37316	1035	11.464536407431394
38968	980	11.318973600526226
40693	928	11.192976774366821
42495	879	11.075343830184952
44376	833	10.925664587089567
46341	789	10.822788630127638
48393	747	10.741667058787508
50535	708	10.593909183040898
52773	671	10.506794997430575
55109	635	10.34522063146723
57549	602	10.32662747775996
60097	570	10.289228495803131
62757	540	10.148190315496754
65536	512	9.974958330392838
68438	485	9.883852221726462
71468	459	9.806473101357863
74632	435	9.673471088177642
77936	412	9.632630358392145
81386	390	9.523924451190812
84990	369	9.441366543680733
88752	350	9.40307817610549
92682	331	9.292260753741264
96785	314	9.192058634131932
101070	297	9.116666183619772
105545	282	9.076958905297024
110218	267	9.015795050503588
115098	253	8.950685537129834
120194	239	8.856300897927712
125515	227	8.828733143677121
131072	215	8.753095476017442
136875	203	8.695136387970395
142935	193	8.63119092322663
149263	182	8.604554112134686
155872	173	8.63335768017155
162773	164	8.579320175501039
169979	155	8.422632625016869
177505	147	8.388951235827978
185364	139	8.300503120517758
193571	132	8.277849111194502
202141	125	8.273426370701642
211090	118	8.203279788282128
220436	112	8.124017815018545
230195	106	8.128164472532927
240387	100	8.06740268816533
251030	95	8.026023855399963
262144	90	7.995185004340278
273750	85	7.975833209777059
285870	81	7.95186299392757
298527	76	7.934704751205612
311744	72	7.867386425685463
325546	69	7.821846410627692
339959	65	7.79513859929263
355010	61	7.783874247827701
370728	58	7.7629838662270485
387141	55	7.717618880224752
404281	52	7.695483558370386
422180	49	7.662459285670785
440872	47	7.648180993721146
460391	44	7.652152389836226
480774	42	7.651556953697879
502060	40	7.575329094132175
524288	38	7.562223434448242
547500	36	7.538125621511924
571740	34	7.530396580922222
597053	32	7.529081065667537
623487	30	7.475425363052208
651091	29	7.4506509207172105
679917	27	7.469718553337583
710020	26	7.559431695315192
741455	24	7.525413095422739
774282	23	7.537595784391778
808563	22	7.525228089833444
844361	20	7.374161288832619
881744	19	7.35579195441379
920782	18	7.363781365549427
961548	17	7.333306048898113
1004120	16	7.351902910010755
1048576	16	7.351142704486847
1095000	16	7.3094868721461195
1143480	16	7.335971114492602
1194106	16	7.2871767142113
1246974	16	7.27863687414493
1302182	16	7.297448964507266
1359835	16	7.26234717815029
1420040	16	7.272515606954734
1482910	16	7.26976085028761
1548564	16	7.25277773472714
1617125	16	7.219428770194016
1688722	16	7.221719479286703
1763488	16	7.2193957018703845
1841564	16	7.242230686796658
1923097	16	7.37952060530488
2008240	16	7.180716199259051
2097152	16	7.181650608778
2190001	16	7.191643205870681
2286960	16	7.201880006646378
2388213	16	7.187322435226673
2493948	16	7.172429767982333
2604365	16	7.19691191518854
2719670	16	7.166750079053708
2840080	16	7.146648884010309
2965821	16	7.257340863625957
3097129	16	7.250774366356713
3234251	16	7.187346448219388
3377443	16	7.139166486303395
3526975	16	7.129860911262484
3683128	16	7.135556142767777
3846194	16	7.131270565785292
4016479	16	7.119511813083051
4194304	16	7.111944884061813
4380002	16	7.111819526566425
4573921	16	7.089242003742522
4776426	16	7.105543271266006
4987896	16	7.105009218816912
5208729	16	7.1122032121463805
5439339	16	7.278704487346715
5680159	16	7.140923453903316
5931642	16	7.092942708781144
6194258	16	7.076105231248037
6468501	16	7.087972922551916
6754886	16	7.087341259349159
7053950	16	7.08414000311882
7366255	16	7.08720459039227
7692387	16	7.130560221424118
8032959	16	7.141257645532612
8388608	16	7.0731295347213745

PROPERTIES:
FileNameDateFormat=yyyyMMdd'_'HHmmssz
HLL_compact=true
HLL_offheap=true
HLL_tgtHllType=HLL6
HLL_useComposite=false
HLL_wrap=false
JobProfile=org.apache.datasketches.characterization.hll.HllUpdateSpeedProfile
LgK=12
OutputFileName=java17/BaseUpdateSpeedProfileHLL6-offheap.txt
OutputFileNameData=java17/BaseUpdateSpeedProfileHLL6-offheap.tsv
ReadableDateFormat=yyyy/MM/dd HH:mm:ss z
TimeZone=PST
TimeZoneOffset=-28800000
Trials_lgMaxBpU=20
Trials_lgMaxT=24
Trials_lgMaxU=23
Trials_lgMinBpU=4
Trials_lgMinT=4
Trials_lgMinU=0
Trials_UPPO=16

Total Job Time: 0:10:51.287
END JOB HllUpdateSpeedProfile


