START JOB HllUpdateSpeedProfile
Date Time: 2025/02/13 19:12:31 PST
InU	Trials	nS/Set
10173	5254	11.021011211035802
10624	4977	10.875736652910629
11094	4715	10.764862131585122
11585	4466	10.630418405133033
12098	4231	10.529664206506368
12634	4008	10.384182422711971
13193	3796	10.267609184134043
13777	3596	10.109926100819482
14387	3407	10.024152107609291
15024	3227	9.87200565862514
15689	3057	9.737309120214574
16384	2896	9.640914073965167
17109	2743	9.50607910886492
17867	2598	9.341414772302024
18658	2462	9.237910722562765
19484	2332	9.12298105883069
20347	2209	8.982768255511182
21247	2092	8.890541402268363
22188	1982	8.747389476261686
23170	1878	8.621837825986846
24196	1779	8.494529359304858
25268	1685	8.366934403843615
26386	1596	8.303467372858746
27554	1512	8.147181023659952
28774	1432	8.074990277729766
30048	1357	7.96944959300687
31379	1285	7.861771268127345
32768	1217	7.69208774237527
34219	1153	7.587127473168021
35734	1092	7.509337307344813
37316	1035	7.423267635128724
38968	980	7.319281257462962
40693	928	7.220999364882706
42495	879	7.123830776584696
44376	833	7.05071103617217
46341	789	6.9144358010186515
48393	747	6.830633287460036
50535	708	6.7581413620028385
52773	671	6.687123148683685
55109	635	6.622773049774088
57549	602	6.518622552995282
60097	570	6.463064040619707
62757	540	6.374362783198451
65536	512	6.269462376832962
68438	485	6.23073279057906
71468	459	6.151698375786325
74632	435	6.101586081222438
77936	412	6.019733144247807
81386	390	5.974343095612115
84990	369	5.907595059007422
88752	350	5.859245634706022
92682	331	5.759362928340681
96785	314	5.727386198774682
101070	297	5.645159287209353
105545	282	5.585939310616395
110218	267	5.604817092825843
115098	253	5.4997013715138205
120194	239	5.481065025767615
125515	227	5.4208424463018545
131072	215	5.356708934695222
136875	203	5.323232138920753
142935	193	5.256834051348751
149263	182	5.245013098422851
155872	173	5.217098837878536
162773	164	5.11758759355577
169979	155	5.058192919087348
177505	147	5.121736342772367
185364	139	4.971144428407555
193571	132	4.970201208764834
202141	125	4.971912318629076
211090	118	4.876171742954853
220436	112	4.858689872408706
230195	106	4.810426230099421
240387	100	4.785203817178134
251030	95	4.806224795945966
262144	90	4.801384607950847
273750	85	4.683756712328766
285870	81	4.671340508311859
298527	76	4.636245280114837
311744	72	4.660214524310547
325546	69	4.571185158098276
339959	65	4.566753456921387
355010	61	4.562306995739209
370728	58	4.522493580198961
387141	55	4.538184654827428
404281	52	4.497809786909448
422180	49	4.423781083801185
440872	47	4.465728702845386
460391	44	4.388041903512448
480774	42	4.399503172166626
502060	40	4.391081643628252
524288	38	4.341422482540733
547500	36	4.331191831557586
571740	34	4.35548439335856
597053	32	4.3483716583787375
623487	30	4.337355443390694
651091	29	4.257643841194082
679917	27	4.278277157903641
710020	26	4.2909680225692455
741455	24	4.234797009483605
774282	23	4.22081781685428
808563	22	4.268700488060019
844361	20	4.233929030355499
881744	19	4.251490109075698
920782	18	4.170607157828889
961548	17	4.207303651783069
1004120	16	4.176265100286819
1048576	16	4.152675449848175
1095000	16	4.174519577625571
1143480	16	4.137121823293805
1194106	16	4.174784682013154
1246974	16	4.1364697158882215
1302182	16	4.156429026434093
1359835	16	4.107592832953998
1420040	16	4.110959242345286
1482910	16	4.0570777643282465
1548564	16	4.085416392218855
1617125	16	4.102393715699157
1688722	16	4.033813476996214
1763488	16	4.067455449087263
1841564	16	4.043095909238017
1923097	16	4.056720032842857
2008240	16	4.011911020346174
2097152	16	4.023448824882507
2190001	16	4.033594248358791
2286960	16	4.001172189281841
2388213	16	3.9995059590580904
2493948	16	4.014068306556512
2604365	16	3.991580025265276
2719670	16	4.001831679027235
2840080	16	3.999230809519451
2965821	16	3.991769880077052
3097129	16	4.004430211818752
3234251	16	3.9774841995874777
3377443	16	3.974942952405118
3526975	16	3.975449180955351
3683128	16	3.957227813559561
3846194	16	3.948609944012185
4016479	16	3.9612755973577856
4194304	16	3.9650965481996536
