START JOB HllUpdateSpeedProfile
Date Time: 2025/02/13 18:29:39 PST
InU	Trials	nS/Set
1	16777216	9.162301898002625
2	16777216	5.799365401268005
3	16777216	4.454656024732939
4	16777216	4.936649322509766
5	16777216	4.908434284121482
6	16777216	5.727464914101631
7	16777216	5.9564560220659075
8	16777216	8.257913500070572
9	16777216	10.711721453916851
10	16777216	10.764656967749714
11	16777216	10.724621968351236
12	16777216	10.740358734355521
13	16777216	10.871869503188375
14	16777216	11.046277882371328
15	16777216	11.271620381016794
16	16777216	11.557806111872196
17	15552804	11.873957314669308
18	14480356	12.203096537491495
19	13534053	12.525932563626027
20	12693529	12.898118773775385
21	11942513	13.379652751871554
22	11267862	13.769549126896983
23	10658843	14.144064836919936
24	10106617	14.570508093221736
25	9603838	15.904516077858188
26	9144357	15.736304523137852
27	8722985	15.587769521251492
28	8335321	15.493916144237
29	7977602	15.35006061506399
31	7339521	15.216643175257474
32	7053950	15.246428127148619
33	6787775	15.157871065244072
35	6306447	15.146669721887358
36	6088239	15.172581116472266
38	5690368	15.13127592376403
40	5336971	15.163205936477757
41	5174758	15.22260487127513
43	4875670	15.290417860928118
45	4606321	15.293478061125823
47	4362621	15.405110704768083
49	4141186	19.755864865649954
52	3844728	19.182730467031064
54	3667563	18.969641340288334
56	3504570	18.767756514666758
59	3283256	18.413849756210585
61	3149253	18.29206684174709
64	2965820	18.14271408286747
67	2800763	17.930628498874924
70	2651534	17.781374183570794
73	2516032	17.703538964565332
76	2392505	17.613349545640453
79	2279481	17.49598070573201
83	2143000	17.45723041150484
87	2020555	17.444031967222397
91	1910152	17.38922947574388
95	1810153	17.34369926917119
99	1719197	21.217719832485688
103	1636150	20.92669127627344
108	1542020	20.499049893389884
112	1473490	20.268467301331047
117	1395203	20.05378026938602
123	1310655	19.720781420327405
128	1246974	19.458918149055233
134	1177575	19.2894401123386
140	1114833	19.137709933756692
146	1057861	18.92635079992072
152	1005924	18.79761468059904
159	950875	18.720568155906232
166	901020	18.609876811664
173	855681	18.492095776089986
181	808670	18.374716516615553
189	766112	18.33337021302155
197	727423	22.244975059087572
206	687916	21.779903437906427
215	652111	21.425126218890384
225	616086	21.06953744192492
235	583492	20.813044238090697
245	553875	20.500165170258374
256	524288	20.20853342860937
267	497428	20.031519695379842
279	470830	19.775122762319473
292	444775	19.597174029055864
304	422939	19.38554615035894
318	399793	19.23848385560377
332	378832	19.195670404935264
347	358474	19.11045154114607
362	340004	19.012052027537674
378	322110	18.904106208399863
395	304876	23.438464120963715
412	289233	23.002713034230897
431	273384	22.268352978500886
450	259032	21.589673468053967
470	245328	21.020901119232025
490	232876	20.50549998404882
512	220435	19.90028648077948
535	208654	19.59935824535271
558	197959	19.238108436015185
583	187406	18.67975224042472
609	177459	18.24593375165371
636	168092	17.80634696041382
664	159279	17.34780244100471
693	150991	17.01035545222792
724	142954	16.617107688004754
756	135430	16.198596279840764
790	128184	15.830773435262067
825	121423	15.549282236230312
861	115110	15.229688402878555
899	109061	14.938653143659808
939	103285	14.650512393125112
981	97787	14.409902060216579
1024	92681	14.190388077619739
1069	87830	13.953026197495925
1117	83138	13.679225831401043
1166	78794	13.50290705281002
1218	74612	13.294736197165069
1272	70674	13.151539698710659
1328	66968	12.985731744024449
1387	63427	12.844760297531433
1448	60104	12.701102538748328
1512	56941	12.60347064895288
1579	53937	12.497579453842999
1649	51090	12.380099756181972
1722	48398	12.289768743381414
1798	45854	12.191849531323962
1878	43426	12.11712163377157
1961	41140	12.064351177568835
2048	38967	12.028404756448566
2139	36906	11.948033563504977
2233	34975	11.993443682343267
2332	33129	11.901223397367804
2435	31386	11.894525881679387
2543	29729	12.022341799953743
2656	28156	11.96464935248766
2774	26667	11.900259641671614
2896	25270	11.921984419102602
3025	23931	11.967712310633202
3158	22677	11.955576262875876
3298	21481	12.09150790568485
3444	20348	12.115951192000864
3597	19272	12.131642841983819
3756	18258	12.175860179924925
3922	17297	12.216185805905878
4096	16384	12.317903220653534
4277	15521	12.426124940397413
4467	14701	12.528565914150038
4664	13929	12.54730323730723
4871	13193	12.636379930175512
5087	12496	12.735225938704929
5312	11838	12.828153990137078
5547	11214	12.862976206471854
5793	10622	12.971683112572908
6049	10063	13.01044357890299
6317	9533	13.052786002302458
6597	9029	13.031067327176217
6889	8554	13.057225462325448
7194	8103	13.047131900028708
7512	7676	13.017004510691448
7845	7271	13.011836697448981
8192	6888	12.925800017778881
8555	6525	12.886313674645232
8933	6181	12.77325142086259
9329	5855	12.688933903892233
9742	5547	12.576703800304944
10173	5254	12.464103218357488
10624	4977	12.32916315276167
11094	4715	12.215394524110108
11585	4466	12.058729776466725
12098	4231	11.937236842943307
12634	4008	11.786574389609243
13193	3796	11.628509870123848
13777	3596	11.492625402253935
14387	3407	11.353776438872861
15024	3227	11.109684251092276
15689	3057	11.021384690935955
16384	2896	10.829972430487365
17109	2743	10.726356519127167
17867	2598	10.593403280496204
18658	2462	10.410291702393925
19484	2332	10.273561092304952
20347	2209	10.133771793649123
21247	2092	9.986136069957809
