START JOB HllUpdateSpeedProfile
Date Time: 2025/02/13 19:19:36 PST
InU	Trials	nS/Set
1	16777216	15.617909908294678
2	16777216	9.801874220371246
3	16777216	7.353654186234264
4	16777216	9.433380961418152
5	16777216	8.650849773514123
6	16777216	9.018905649307015
7	16777216	9.439220862145563
8	16777216	30.595585726201534
9	16777216	28.142536258934506
10	16777216	26.415069424744967
11	16777216	25.093445677679906
12	16777216	24.182645352788423
13	16777216	23.46232900821692
14	16777216	22.63517055933546
15	16777216	22.12115641489192
16	16777216	21.586477924138308
17	15552804	21.470026940035233
18	14480356	21.172363311278563
19	13534053	20.956053388552466
20	12693529	20.860257958880428
21	11942513	20.772964525456224
22	11267862	20.665196717241162
23	10658843	20.70860955611981
24	10106617	20.652755076671035
25	9603838	29.681885308780743
26	9144357	29.024943592394166
27	8722985	28.578397129773137
28	8335321	28.133813594946428
29	7977602	27.575490915022215
31	7339521	26.89042426404236
32	7053950	26.666780996817387
33	6787775	26.35114970784348
35	6306447	25.984391922285955
36	6088239	25.639300981110008
38	5690368	25.363309678602253
40	5336971	25.011284598502044
41	5174758	24.924388249476834
43	4875670	24.617277139688877
45	4606321	24.496233477777224
47	4362621	24.226245307660072
49	4141186	31.31526525516444
52	3844728	30.20780376695193
54	3667563	29.769303071532267
56	3504570	29.240789388847663
59	3283256	28.727074504564055
61	3149253	28.22585952448137
64	2965820	27.86169154420194
67	2800763	27.255257664998748
70	2651534	26.963695425327295
73	2516032	26.634652712932983
76	2392505	26.34754817160894
79	2279481	26.154535737985306
83	2143000	25.79633549965067
87	2020555	25.593290889487417
91	1910152	25.35041857202745
95	1810153	25.13134309932209
99	1719197	31.41813379366062
103	1636150	30.740766267334465
108	1542020	30.150803209266265
112	1473490	29.668726186268138
117	1395203	29.201708061334234
123	1310655	28.649329701154116
128	1246974	28.166167752645606
134	1177575	27.74178626650454
140	1114833	27.319306171542035
146	1057861	26.94036546590931
152	1005924	26.64734381282076
159	950875	26.36385358403206
166	901020	25.982206665058612
173	855681	25.75702803133554
181	808670	25.533083781874144
189	766112	25.293894227235253
197	727423	31.120655050597687
206	687916	30.53132395168107
215	652111	29.88002504066648
225	616086	29.34711403568528
235	583492	28.790177399798985
245	553875	28.326561017703334
256	524288	27.832481674849987
267	497428	27.45124508487804
279	470830	27.0156214256641
292	444775	26.598993434404132
304	422939	26.37479745430083
318	399793	26.04403302294017
332	378832	25.773200766460143
347	358474	25.57107896956306
362	340004	25.380568320899084
378	322110	25.180326711497607
395	304876	40.82337994729201
412	289233	39.47520800661899
431	273384	38.246065154156994
450	259032	37.2685922974895
470	245328	36.37037293365015
490	232876	35.41634822035183
512	220435	34.5621135925131
535	208654	33.60395485474291
558	197959	32.75331014653921
583	187406	31.96045098808324
609	177459	31.345026998578884
636	168092	30.72121397992745
664	159279	29.98811176186637
693	150991	29.326296160369825
724	142954	28.695837394898547
756	135430	28.13557865072365
790	128184	27.576239100907436
825	121423	26.976775904120057
861	115110	26.469164181788653
899	109061	26.023202494094562
939	103285	25.5245071499205
981	97787	25.101858095185246
1024	92681	24.62538054759066
1069	87830	24.19616752620184
1117	83138	23.84709403245969
1166	78794	23.45936382475003
1218	74612	23.10761244575845
1272	70674	22.794957376255272
1328	66968	22.395204241594147
1387	63427	22.09030164385505
1448	60104	21.818265501399473
1512	56941	21.57794270529488
1579	53937	21.227836094705186
1649	51090	21.01263126071126
1722	48398	20.749577388682862
1798	45854	20.53568404928732
1878	43426	20.335334166449496
1961	41140	20.140126449727337
2048	38967	19.976839589929458
2139	36906	19.764363665070107
2233	34975	19.60977641569104
2332	33129	19.45747222497845
2435	31386	19.25936171858141
2543	29729	19.08564665948879
2656	28156	18.91182923197487
2774	26667	18.821686335805722
2896	25270	18.66766117915493
3025	23931	18.601647132198988
3158	22677	18.597488079349848
3298	21481	18.397027776588008
3444	20348	18.261773009678855
3597	19272	18.160258153530002
3756	18258	18.035165409861175
3922	17297	18.063153429199488
4096	16384	17.986179545521736
4277	15521	17.838559453121775
4467	14701	17.731819555989105
4664	13929	17.77880729851854
4871	13193	17.652318438466605
5087	12496	17.624442589468284
5312	11838	17.62486277789783
5547	11214	17.609642830697773
5793	10622	17.442883266714166
6049	10063	17.301518896811864
6317	9533	17.243249908448092
6597	9029	17.16518002986117
6889	8554	17.089227936645784
7194	8103	17.047911033269884
7512	7676	16.843144749883656
7845	7271	16.861485796311968
8192	6888	16.581126852179516
8555	6525	16.484503131640874
8933	6181	16.34884035683648
9329	5855	16.154325780814915
9742	5547	16.017326434299825
10173	5254	15.841040726306662
10624	4977	15.611788190283736
11094	4715	15.472547426111525
11585	4466	15.319933527398607
12098	4231	15.147165418443773
12634	4008	14.978966971076034
13193	3796	14.807726392728144
13777	3596	14.61963709566402
14387	3407	14.476832713647555
15024	3227	14.275871692782522
15689	3057	14.175008303053147
16384	2896	13.918909526003
17109	2743	13.739505020531935
17867	2598	13.553984614657443
18658	2462	13.38208839534033
19484	2332	13.190816152797073
20347	2209	13.01352035617972
21247	2092	12.863917285904545
22188	1982	12.697069915520546
23170	1878	12.577012984088057
24196	1779	12.43431620963928
25268	1685	12.178151673995423
26386	1596	12.078211617119807
27554	1512	11.936997307451687
28774	1432	11.774275945695862
30048	1357	11.634689973811488
31379	1285	11.50563437863906
32768	1217	11.376458599808378
34219	1153	11.249756941583387
35734	1092	11.11666224346724
37316	1035	10.980354129220451
38968	980	10.927845374959679
40693	928	10.766719308878866
42495	879	10.698425980919126
44376	833	10.575828844247276
46341	789	10.419000395727386
48393	747	10.305223594492997
50535	708	10.206816218999078
52773	671	10.11743732816449
55109	635	9.9850326975473
57549	602	9.899543471520348
60097	570	9.805886682027788
62757	540	9.736075066732994
65536	512	9.634649842977524
68438	485	9.52132371748618
71468	459	9.471742308485373
74632	435	9.373175322779181
77936	412	9.335014739502462
81386	390	9.238316644896397
84990	369	9.158106533177344
88752	350	9.084153725308402
92682	331	9.016752178175299
96785	314	9.035928410499464
101070	297	8.912957616133632
105545	282	8.833572517386116
110218	267	8.766827002638214
115098	253	8.699769682436628
120194	239	8.645073449248681
125515	227	8.562464215713202
131072	215	8.553445860396984
136875	203	8.487663207143978
142935	193	8.408876131420291
149263	182	8.382481714369053
155872	173	8.3214969330104
162773	164	8.2969835441936
169979	155	8.206968564807532
177505	147	8.205059204042733
185364	139	8.137812337040446
193571	132	8.124452808248414
202141	125	8.07626197555172
211090	118	8.027389995913065
220436	112	7.967985038741408
230195	106	7.963517927991322
240387	100	7.95599570692259
251030	95	7.892504146076062
262144	90	7.881528218587239
273750	85	7.812564877786729
285870	81	7.83588620744904
298527	76	7.753513611481494
311744	72	7.770455664120417
325546	69	7.72037968409282
339959	65	7.7708088328298395
355010	61	7.722542888424755
370728	58	7.641688366747549
387141	55	7.667688469622649
404281	52	7.582210764295135
422180	49	7.596346272650895
440872	47	7.549770319787902
460391	44	7.537396770057705
480774	42	7.509652045204092
502060	40	7.49842932119667
524288	38	7.455844628183465
