START JOB HllUpdateSpeedProfile
Date Time: 2025/02/13 16:30:02 PST
InU	Trials	nS/Set
1	16777216	8.984968602657318
2	16777216	5.483292877674103
3	16777216	3.7836747764721013
4	16777216	4.540914803743362
5	16777216	4.839891696330853
6	16777216	5.681097566872219
7	16777216	5.920765748521728
8	16777216	9.457865729928017
9	16777216	8.537320441923095
10	16777216	7.558181792276493
11	16777216	7.880869752181315
12	16777216	7.971145089930699
13	16777216	8.108385984685619
14	16777216	8.319499310752546
15	16777216	8.5786568355768
16	16777216	8.855424255132675
17	15552804	9.133880393269456
18	14480356	9.442525749199461
19	13534053	9.68884282218717
20	12693529	10.134031135239809
21	11942513	10.162188279791836
22	11267862	10.716266064999903
23	10658843	10.850729022683703
24	10106617	11.338448465018045
25	9603838	15.878425712723496
26	9144357	15.498128059257365
27	8722985	15.74280051966902
28	8335321	15.205233646913367
29	7977602	15.529375483724404
31	7339521	15.098894671900322
32	7053950	15.419628417411522
33	6787775	14.994889671423529
35	6306447	15.415448585367956
36	6088239	15.007430838863739
38	5690368	15.441790296973386
40	5336971	15.033771571925238
41	5174758	15.497171126722238
43	4875670	15.169586510437835
45	4606321	15.524188088598887
47	4362621	15.527057112124703
49	4141186	20.142411573831605
52	3844728	19.263625686504085
54	3667563	19.387453512315247
56	3504570	18.702711597792153
59	3283256	18.821651573292197
61	3149253	18.332916351967146
64	2965820	18.41591056078083
67	2800763	17.86669738064628
70	2651534	18.187863990155456
73	2516032	17.724408480484563
76	2392505	17.924124197240317
79	2279481	17.50285893144258
83	2143000	17.773038433110752
87	2020555	17.403910715674662
91	1910152	17.619481786599405
95	1810153	17.346681762042262
99	1719197	21.759475763739985
103	1636150	20.889069989732086
108	1542020	20.96816976961703
112	1473490	20.35871679887148
117	1395203	20.40372318215727
123	1310655	19.70583486890433
128	1246974	19.848597760458517
134	1177575	19.30773789797839
140	1114833	19.43353614399039
146	1057861	18.960041109311046
152	1005924	19.133177876593354
159	950875	19.13912445087576
166	901020	18.53237444684592
173	855681	18.345054092835912
181	808670	18.278270131388272
189	766112	18.199999291415864
197	727423	22.619018625765875
206	687916	21.74279367027422
215	652111	21.798332442560334
225	616086	21.030832564141548
235	583492	21.022086736581258
245	553875	20.279670595395206
256	524288	20.422137014567852
267	497428	19.781362715586084
279	470830	19.940854893869844
292	444775	19.31621526354218
304	422939	19.237607403185585
318	399793	19.08037337777824
332	378832	18.992343285607802
347	358474	18.823983054387128
362	340004	18.722276553009863
378	322110	18.6703218394928
395	304876	25.914337034468627
412	289233	24.325831495270588
431	273384	23.519245377167486
450	259032	22.98197954091824
470	245328	22.50761889250124
490	232876	22.06782942379409
512	220435	21.540605595895617
535	208654	21.07279575389299
558	197959	20.652392323157677
583	187406	20.34377674697298
609	177459	19.86333946412158
636	168092	19.461290777119366
664	159279	19.107821856804698
693	150991	18.76923846545084
724	142954	18.408303530704956
756	135430	18.134737160912838
790	128184	17.87761571183128
825	121423	17.582514061162694
861	115110	17.279442670143325
899	109061	17.05169925671315
939	103285	16.747803814037773
981	97787	16.546744011746867
1024	92681	16.320237214460757
1069	87830	16.12806793504935
1117	83138	15.998247060312563
1166	78794	15.807050963079043
1218	74612	15.577751077341478
1272	70674	15.369799355993399
1328	66968	15.25098814277908
1387	63427	15.141642591828907
1448	60104	14.959958711989128
1512	56941	14.85736465917621
1579	53937	14.73920641329987
1649	51090	14.66126026901029
1722	48398	14.55006472416671
1798	45854	14.482595737315098
1878	43426	14.355887375667232
1961	41140	14.299738049475712
2048	38967	14.161958155298073
2139	36906	14.136553900490794
2233	34975	14.076961594024427
2332	33129	14.00529922093164
2435	31386	13.954628209571906
2543	29729	13.96307602215085
2656	28156	13.920257372009491
2774	26667	13.874413137067503
2896	25270	13.87358407650419
3025	23931	13.863687619812923
3158	22677	13.819155330679536
3298	21481	13.835750811871529
3444	20348	13.841713662527683
3597	19272	13.865863685006502
3756	18258	13.835832143139223
3922	17297	13.845627948145562
4096	16384	13.845067232847214
4277	15521	13.894187676702378
4467	14701	13.91791073606686
4664	13929	13.967618876889272
4871	13193	13.970465198358086
5087	12496	13.987096244299376
5312	11838	13.979318550812657
5547	11214	14.019447959488453
5793	10622	13.969482107282298
6049	10063	13.918484205810149
6317	9533	13.941504063743851
6597	9029	13.92856031093658
6889	8554	13.857490600559274
7194	8103	13.826406444604256
7512	7676	13.78862737459214
7845	7271	13.697803588454248
8192	6888	13.663769038573651
8555	6525	13.500903444245091
8933	6181	13.410031768070901
9329	5855	13.284022907183068
9742	5547	13.172513661183963
10173	5254	13.044968916316385
10624	4977	12.876563479657012
11094	4715	12.656543705089522
11585	4466	12.534055650122808
12098	4231	12.394308608430197
12634	4008	12.142076935254057
13193	3796	11.98130554592888
13777	3596	11.796412129709806
14387	3407	11.639469836580984
15024	3227	11.51577956624632
15689	3057	11.301505445862528
16384	2896	11.137526643868968
17109	2743	10.942866721868086
17867	2598	10.814951036942917
18658	2462	10.621387157905549
19484	2332	10.48420188548954
20347	2209	10.357387889603835
21247	2092	10.184158829846277
22188	1982	10.02986821450747
23170	1878	9.890407751568151
24196	1779	9.738098414196763
25268	1685	9.650519041219376
26386	1596	9.498477965549812
27554	1512	9.33556041758116
28774	1432	9.230479254044132
30048	1357	9.070123591985082
31379	1285	8.950811262780391
32768	1217	8.830636945237071
34219	1153	8.746273220446017
35734	1092	8.597647150055224
37316	1035	8.489944762138535
38968	980	8.375792617909402
40693	928	8.238734665455471
42495	879	8.175282563524506
44376	833	8.016948234134102
46341	789	7.920177307970132
48393	747	7.807536498842543
50535	708	7.695509712740347
52773	671	7.579824992361772
55109	635	7.511677830178498
57549	602	7.449848457899428
60097	570	7.311384402233933
62757	540	7.205659395233467
65536	512	7.143674850463867
68438	485	7.069483312912012
71468	459	6.9385752789950095
74632	435	6.8904231706099965
77936	412	6.784260841108366
81386	390	6.771659587392019
84990	369	6.671718879090191
88752	350	6.57895403564347
92682	331	6.529440758710335
96785	314	6.443160212290095
101070	297	6.381479549293938
105545	282	6.310618441463407
110218	267	6.214492891615618
115098	253	6.195234897609507
120194	239	6.11586533430647
125515	227	6.0325467180941414
131072	215	6.051130285928416
136875	203	5.953376539127696
142935	193	5.88514062426651
149263	182	5.874513737202416
155872	173	5.780215654937858
162773	164	5.744692256596159
169979	155	5.646211401066812
177505	147	5.68810889105931
185364	139	5.609950299616593
193571	132	5.551418921848895
202141	125	5.5079656675291035
211090	118	5.437699198108924
220436	112	5.446811781132459
230195	106	5.351939762309804
240387	100	5.336036432918586
251030	95	5.333842128326034
262144	90	5.251789093017578
273750	85	5.184236798280956
285870	81	5.198339787531845
298527	76	5.118966361677944
311744	72	5.144900276081227
325546	69	5.084156365355257
339959	65	5.088385273608786
355010	61	5.035448505029415
370728	58	5.042697257734827
387141	55	5.028480767284457
404281	52	4.962111273327977
422180	49	4.887675341110911
440872	47	4.859510243335934
460391	44	4.8440709784035345
480774	42	4.884573674552958
502060	40	4.777749073815876
524288	38	4.823760032653809
547500	36	4.748767579908676
571740	34	4.762214931097847
597053	32	4.7562168371149625
623487	30	4.691617521028238
651091	29	4.730572277120645
679917	27	4.638068404754633
710020	26	4.661111550487202
741455	24	4.717327192254868
774282	23	4.671574383133972
808563	22	4.595205602127141
844361	20	4.636886651562542
881744	19	4.633276778747574
920782	18	4.6577257760854955
961548	17	4.576520483269746
1004120	16	4.514086774987053
1048576	16	4.561223149299622
1095000	16	4.596099657534247
1143480	16	4.492132842288454
1194106	16	4.5393379545032015
1246974	16	4.474473505462023
1302182	16	4.518221579241612
1359835	16	4.488370142333445
1420040	16	4.415608891298837
1482910	16	4.50898693278756
1548564	16	4.45591242112047
1617125	16	4.404989874004793
1688722	16	4.4599123627216315
1763488	16	4.401675543014753
1841564	16	4.456354184540966
1923097	16	4.384392401943323
2008240	16	4.369645466926263
2097152	16	4.393067240715027
2190001	16	4.343429323776564
2286960	16	4.394497116259139
2388213	16	4.379654107485388
2493948	16	4.324028032060011
2604365	16	4.292945041305654
2719670	16	4.29941201506065
2840080	16	4.338246193769189
2965821	16	4.335444026291539
3097129	16	4.293431029188645
3234251	16	4.286740055889292
3377443	16	4.279617505758055
3526975	16	4.276188624813048
3683128	16	4.274341079783271
3846194	16	4.324004034897875
4016479	16	4.281039002071217
4194304	16	4.277866944670677
4380002	16	4.300505213810405
4573921	16	4.316786571084197
4776426	16	4.282333184372583
4987896	16	4.252688132430988
5208729	16	4.254717273638156
5439339	16	4.229473287103452
5680159	16	4.263098202884813
5931642	16	4.2296423148935824
6194258	16	4.222312644226315
6468501	16	4.222140792356683
6754886	16	4.21860953685969
7053950	16	4.2161539279410825
7366255	16	4.214403350141964
7692387	16	4.210270670859384
8032959	16	4.232322143060858
8388608	16	4.2196803987026215

PROPERTIES:
FileNameDateFormat=yyyyMMdd'_'HHmmssz
HLL_compact=true
HLL_offheap=false
HLL_tgtHllType=HLL4
HLL_useComposite=false
HLL_wrap=false
JobProfile=org.apache.datasketches.characterization.hll.HllUpdateSpeedProfile
LgK=12
OutputFileName=java11/BaseUpdateSpeedProfileHLL4.txt
OutputFileNameData=java11/BaseUpdateSpeedProfileHLL4.tsv
ReadableDateFormat=yyyy/MM/dd HH:mm:ss z
TimeZone=PST
TimeZoneOffset=-28800000
Trials_lgMaxBpU=20
Trials_lgMaxT=24
Trials_lgMaxU=23
Trials_lgMinBpU=4
Trials_lgMinT=4
Trials_lgMinU=0
Trials_UPPO=16

Total Job Time: 0:06:35.072
END JOB HllUpdateSpeedProfile


