START JOB HllUpdateSpeedProfile
Date Time: 2025/02/13 16:37:32 PST
InU	Trials	nS/Set
1	16777216	19.5287903547287
2	16777216	19.029514968395233
3	16777216	16.44436200329082
4	16777216	16.8397516310215
5	16777216	17.125267040911822
6	16777216	17.580935231367015
7	16777216	17.987403983572673
8	16777216	39.87214271724224
9	16777216	36.22404123414473
10	16777216	34.41478801331316
11	16777216	33.06871134437849
12	16777216	32.0099162909483
13	16777216	31.06496169107924
14	16777216	30.390884972809843
15	16777216	29.827208366889426
16	16777216	29.29298260807991
17	15552804	28.952211948138423
18	14480356	28.660243055162077
19	13534053	28.452424969079274
20	12693529	28.32280561226542
21	11942513	28.16703633561871
22	11267862	28.114999826864224
23	10658843	28.07778110281349
24	10106617	28.006160401358205
25	9603838	36.85086384424596
26	9144357	36.20139642094612
27	8722985	35.559895881597775
28	8335321	35.10628802036947
29	7977602	34.64415132799971
31	7339521	33.881614579433155
32	7053950	33.53857414108408
33	6787775	33.25075440927828
35	6306447	32.74041581831981
36	6088239	32.51772226990087
38	5690368	32.137091753616374
40	5336971	31.77874998292204
41	5174758	31.67502041477381
43	4875670	31.357680917096364
45	4606321	31.179165122319613
47	4362621	30.99128884858935
49	4141186	38.92665856282876
52	3844728	37.79562532917322
54	3667563	37.18490931283368
56	3504570	36.671403410130665
59	3283256	35.9631972554314
61	3149253	35.56617911653809
64	2965820	34.853381795548955
67	2800763	34.38203525562855
70	2651534	33.87416951296156
73	2516032	33.494819734935824
76	2392505	33.035827533176715
79	2279481	32.79223909358465
83	2143000	32.40818707609767
87	2020555	32.257998836726735
91	1910152	31.82708487833994
95	1810153	31.772908407698996
99	1719197	38.986996231045616
103	1636150	38.444210897388814
108	1542020	37.587585776192775
112	1473490	37.0817502701488
117	1395203	36.360968303409635
123	1310655	35.858267291703854
128	1246974	34.92727693325001
134	1177575	34.46352912848134
140	1114833	33.93420317533013
146	1057861	33.55870767670381
152	1005924	33.28452012760381
159	950875	32.82262166671881
166	901020	32.638105200978984
173	855681	32.37424345240243
181	808670	32.02335267505857
189	766112	31.917262867425993
197	727423	38.67895872527548
206	687916	37.98215727487968
215	652111	37.28209888508855
225	616086	36.63388594734777
235	583492	36.129021142138754
245	553875	35.46759813002831
256	524288	35.00716271996498
267	497428	34.49081430680013
279	470830	34.07694813633874
292	444775	33.734359022543046
304	422939	33.28681777841771
318	399793	33.000385175735076
332	378832	32.745345061220476
347	358474	32.468324649419465
362	340004	32.21305256337018
378	322110	32.033413040892725
395	304876	58.14383715412993
412	289233	56.692172373997444
431	273384	55.3669833828678
450	259032	54.14560439548183
470	245328	52.89606464331514
490	232876	51.888440708212244
512	220435	50.814597884934905
535	208654	50.13972246145068
558	197959	49.433752782269565
583	187406	48.51921545154559
609	177459	48.39484753994276
636	168092	48.251856051574016
664	159279	48.53035030142151
693	150991	44.514194193863375
724	142954	43.962559731188854
756	135430	43.271769871150134
790	128184	42.69630579499225
825	121423	42.27290933598312
861	115110	41.69631455887329
899	109061	41.288639449555696
939	103285	40.84187515721574
981	97787	40.26137260594377
1024	92681	39.694796417365076
1069	87830	39.38019577534256
1117	83138	38.8460946478266
1166	78794	38.35829979348735
1218	74612	38.07014713094587
1272	70674	37.670579986533134
1328	66968	37.25564137222776
1387	63427	36.751040069007416
1448	60104	36.43547363207647
1512	56941	36.59975709099879
1579	53937	36.36828177193702
1649	51090	35.90520551314168
1722	48398	35.6958067252933
1798	45854	35.39134616359607
1878	43426	34.958363000783486
1961	41140	34.6771387089574
2048	38967	34.39226762839791
2139	36906	34.15862255160889
2233	34975	33.88870607147834
2332	33129	33.4773073391016
2435	31386	33.22278581682327
2543	29729	32.93980253951272
2656	28156	32.6794350205875
2774	26667	32.48533512833548
2896	25270	32.07237661979857
3025	23931	31.964474254665852
3158	22677	31.709043694074794
3298	21481	31.49538783184024
3444	20348	31.265522547054346
3597	19272	30.980385619536698
3756	18258	30.67304982273348
3922	17297	30.56224168003845
4096	16384	30.33134950697422
4277	15521	30.100614601707882
4467	14701	29.95184250824285
4664	13929	29.695093682651777
4871	13193	29.46157853597598
5087	12496	29.209669264402727
5312	11838	29.02185881768373
5547	11214	28.874363727202383
5793	10622	28.675901073055655
