START JOB HllUpdateSpeedProfile
Date Time: 2025/02/13 17:27:30 PST
InU	Trials	nS/Set
1	16777216	8.269431352615356
2	16777216	18.029507726430893
3	16777216	16.720881341711955
4	16777216	16.938424468040466
5	16777216	17.308609497918418
6	16777216	17.83285174894078
7	16777216	18.456006385530767
8	16777216	39.123634554445744
9	16777216	37.40888003433659
10	16777216	36.09562762890423
11	16777216	35.00022523090681
12	16777216	33.94401941318652
13	16777216	33.05917466816889
14	16777216	32.31922483530619
15	16777216	31.711079140059272
16	16777216	31.332054119557142
17	15552804	30.819498539331875
18	14480356	30.465613104916645
19	13534053	30.176942029304236
20	12693529	30.03112206125467
21	11942513	29.821844152026557
22	11267862	29.645342023503954
23	10658843	29.487568735971667
24	10106617	29.3918090941511
25	9603838	38.147063592647505
26	9144357	37.600255313788495
27	8722985	37.04673739915411
28	8335321	36.573514490529455
29	7977602	36.17986052142285
31	7339521	35.346370402926915
32	7053950	35.02823006081699
33	6787775	34.751808718598014
35	6306447	34.17647031886911
36	6088239	33.90919616958646
38	5690368	33.49907221386616
40	5336971	33.06628559531909
41	5174758	32.95218952496454
43	4875670	32.55348570033427
45	4606321	32.299254442666545
47	4362621	32.04026900792496
49	4141186	40.11779408183345
52	3844728	39.02883954623759
54	3667563	38.45975495408646
56	3504570	37.971922227532524
59	3283256	37.28407496407161
61	3149253	36.844768237189854
64	2965820	36.29715851665812
67	2800763	35.732136979565155
70	2651534	35.19833667713947
73	2516032	34.69376964029134
76	2392505	34.372338818994216
79	2279481	33.99235890894375
83	2143000	33.54094585351466
87	2020555	33.15828831825658
91	1910152	32.86142115393133
95	1810153	32.49455185611718
99	1719197	39.9307538179578
103	1636150	39.21494727889869
108	1542020	38.602347588182724
112	1473490	38.13281591918479
117	1395203	37.55120903862313
123	1310655	36.826384803039055
128	1246974	36.434843663290096
134	1177575	35.78687241456497
140	1114833	35.44809778681201
146	1057861	34.920690890633765
152	1005924	34.488145535010766
159	950875	34.00929336677366
166	901020	33.67093928081189
173	855681	33.39135163234059
181	808670	32.96179530032154
189	766112	32.77423187209691
197	727423	39.76639809150721
206	687916	39.02102711428493
215	652111	38.52979558733495
225	616086	37.79193090999319
235	583492	37.33181841655776
245	553875	36.75039140011147
256	524288	36.16456092894077
267	497428	35.837710455918916
279	470830	35.29326536671889
292	444775	34.83027833837922
304	422939	34.485946274972974
318	399793	33.986981509780804
332	378832	33.71796267986455
347	358474	33.408645796821936
362	340004	33.10110885272035
378	322110	32.77982507536317
395	304876	54.77510107035988
412	289233	53.19978377528154
431	273384	51.890937103038056
450	259032	50.63836694569227
470	245328	49.48414102317431
490	232876	48.319545419803696
512	220435	47.2619126492787
535	208654	46.534905463050166
558	197959	46.04110766681346
583	187406	44.9255853532458
609	177459	44.35775538558951
636	168092	43.71505973368049
664	159279	42.9647912275023
693	150991	42.16847822403962
724	142954	41.3784648842341
756	135430	40.62901272332823
790	128184	39.99658174324971
825	121423	39.309156764515144
861	115110	38.58539010959193
899	109061	38.044675266643324
939	103285	37.41274562981476
981	97787	36.8688612115613
1024	92681	36.293394806092266
1069	87830	35.82677765225235
1117	83138	35.31605576757957
1166	78794	34.79830269137304
1218	74612	34.34956869812535
1272	70674	33.95183077075806
1328	66968	33.53492076507159
1387	63427	33.07538239266739
1448	60104	32.66348670821459
1512	56941	32.60104878352856
1579	53937	32.4209253441099
1649	51090	32.12592509372104
1722	48398	31.691752219624927
1798	45854	31.330180454258922
1878	43426	31.052652984840616
1961	41140	30.797740814628366
2048	38967	30.507585231874888
2139	36906	30.04595059705493
2233	34975	29.77895433594595
2332	33129	29.583707216142432
2435	31386	29.399550656978953
2543	29729	29.09606228353422
2656	28156	28.829844389992267
2774	26667	28.582012799641817
2896	25270	28.311269491152967
3025	23931	28.1350683766806
3158	22677	27.90915206399818
3298	21481	27.761616432918192
3444	20348	27.46227845134666
3597	19272	27.271341004962938
3756	18258	27.045907123327712
3922	17297	26.87871806582044
4096	16384	26.71718266606331
4277	15521	26.53887159630739
4467	14701	26.420743144973518
4664	13929	26.190097042622085
4871	13193	25.956631739366888
