START JOB HllUpdateSpeedProfile
Date Time: 2025/02/13 17:49:52 PST
InU	Trials	nS/Set
1	16777216	10.843186557292938
2	16777216	17.28504240512848
3	16777216	16.25172362586056
4	16777216	16.555140003561974
5	16777216	16.994855701978334
6	16777216	17.425864141850305
7	16777216	17.93655651278376
8	16777216	39.4671281799674
9	16777216	37.83763560231297
10	16777216	36.31687671466063
11	16777216	35.107984712792316
12	16777216	34.03962508951097
13	16777216	33.225216322015534
14	16777216	32.389826311529255
15	16777216	31.81970998723588
16	16777216	31.38269856199622
17	15552804	31.05459538259004
18	14480356	30.69094483451306
19	13534053	30.426495262438795
20	12693529	30.236997712793016
21	11942513	30.02036768751332
22	11267862	29.83993108002675
23	10658843	29.74469080648417
24	10106617	29.592776481960804
25	9603838	37.982789959528965
26	9144357	37.46044938251435
27	8722985	36.94302793803275
28	8335321	36.42052950906114
29	7977602	35.94651364368621
31	7339521	35.21559272467464
32	7053950	34.91721162433814
33	6787775	34.58277974124915
35	6306447	34.051354363319554
36	6088239	33.79689506373285
38	5690368	33.334079314306656
40	5336971	32.93793827529644
41	5174758	32.75503254046424
43	4875670	32.42047955569198
45	4606321	32.15986389165748
47	4362621	31.94440915864777
49	4141186	39.71982194213904
52	3844728	38.547164454756036
54	3667563	38.111680456601235
56	3504570	37.57747286260771
59	3283256	36.61513208776619
61	3149253	36.25626846515125
64	2965820	35.617307639624116
67	2800763	35.135696881539126
70	2651534	34.53789069696829
73	2516032	34.13799633892857
76	2392505	33.66653429948409
79	2279481	33.381669741237644
83	2143000	32.908203307075844
87	2020555	32.599910830341685
91	1910152	32.282083034186144
95	1810153	32.02233780327159
99	1719197	39.00648160826627
103	1636150	38.452863503566604
108	1542020	37.83093587089579
112	1473490	37.35030735477014
117	1395203	36.76209923345329
123	1310655	36.14534775070564
128	1246974	35.65419151682393
134	1177575	35.13031031709015
140	1114833	34.62468522828978
146	1057861	34.177234312517626
152	1005924	33.800283972896935
159	950875	34.2998716408507
166	901020	33.33143223487005
173	855681	32.76925952901028
181	808670	32.43649176496297
189	766112	32.19397721883612
197	727423	38.897990766008455
206	687916	38.33927424225783
215	652111	37.73804820574895
225	616086	37.11295881844912
235	583492	36.57011590965259
245	553875	36.039194351474755
256	524288	35.53940159082413
267	497428	35.041159108161494
279	470830	34.669108111279165
292	444775	34.17374966411178
304	422939	33.771405576987696
318	399793	33.42973264607456
332	378832	33.08105125814797
347	358474	32.688748217534005
362	340004	32.417080176039086
378	322110	32.17233626029262
395	304876	52.39872257674732
412	289233	51.053197553080544
431	273384	49.69373141664542
450	259032	48.464316626650856
470	245328	47.37454025078492
490	232876	46.29738364747665
512	220435	45.22577672237564
535	208654	44.60575070888899
558	197959	45.585036217544314
583	187406	42.72995463441218
609	177459	42.39701243786972
636	168092	42.01573205381684
664	159279	41.22555670101437
693	150991	40.559214900420024
724	142954	39.78655705961271
756	135430	39.174601680234616
790	128184	38.51304170547323
825	121423	37.86215646328831
861	115110	37.286294339850116
899	109061	36.73310672572169
939	103285	36.06252469013169
981	97787	35.49772673129963
1024	92681	34.96858440342411
1069	87830	34.55914103771739
1117	83138	34.04130238486271
1166	78794	33.4574351792381
1218	74612	33.0594401473729
1272	70674	32.5582834564396
1328	66968	32.200998321170594
1387	63427	31.76164544065087
1448	60104	31.348227115357332
1512	56941	31.44914748152886
1579	53937	31.31015730206861
1649	51090	30.94523217983813
1722	48398	30.5977329070542
1798	45854	30.261886362448685
1878	43426	29.96020704213342
1961	41140	29.664164751791457
2048	38967	29.33731634600271
2139	36906	29.021173005464085
2233	34975	28.743449543484306
2332	33129	28.499003065460276
2435	31386	28.234801467218038
2543	29729	27.991617792323492
2656	28156	27.71039693116132
2774	26667	27.463859306300698
2896	25270	27.22286818930135
3025	23931	27.036149605044564
3158	22677	26.907053060013663
3298	21481	26.596241226786617
3444	20348	26.375407970992555
3597	19272	26.143625724494555
3756	18258	25.96098704919492
3922	17297	25.798160873460766
4096	16384	25.598534047603607
4277	15521	25.467102148571257
4467	14701	25.268149211793016
4664	13929	25.080679544644557
4871	13193	24.956822719874285
5087	12496	24.76059780057515
5312	11838	24.598493616509046
5547	11214	24.393813760510675
5793	10622	24.253437483210153
6049	10063	24.07688842487813
6317	9533	23.903543544307745
6597	9029	23.688937350792674
6889	8554	23.48526825030994
7194	8103	23.25896479270883
7512	7676	23.050942948464986
7845	7271	22.828807667187355
8192	6888	22.567068669300323
8555	6525	22.30598950670774
8933	6181	22.05014355461799
9329	5855	21.79184056328218
9742	5547	21.493604215365377
10173	5254	21.20276493031418
10624	4977	20.94035184211835
11094	4715	20.62247102319124
11585	4466	20.319037465444083
12098	4231	19.996570530770242
12634	4008	19.666939214020925
13193	3796	19.342036645387083
13777	3596	19.036723762089075
14387	3407	18.761972032728803
15024	3227	18.44692627732001
15689	3057	18.14146021520316
16384	2896	17.841472478202693
17109	2743	17.50129728354709
17867	2598	17.208866919471244
18658	2462	16.911133634720827
19484	2332	16.62172225229096
20347	2209	16.339794871340708
21247	2092	16.10412643116595
22188	1982	15.80125403464426
23170	1878	15.545972193303845
24196	1779	15.260527176828608
25268	1685	15.016331748581045
26386	1596	14.861741730206678
27554	1512	14.482387158568457
28774	1432	14.227355216320765
30048	1357	14.01152344409103
31379	1285	13.807357023204322
32768	1217	13.599330478940916
34219	1153	13.369075654652088
35734	1092	13.12999662647759
37316	1035	12.947071984249416
38968	980	12.743788493122564
40693	928	12.538371872185053
42495	879	12.344185925105833
44376	833	12.146833097760462
46341	789	11.960556872595623
48393	747	11.79969139882739
50535	708	11.607403047281096
52773	671	11.444199989025915
55109	635	11.278550326103904
57549	602	11.142762899898269
60097	570	10.98852186041923
62757	540	10.856455204347867
65536	512	10.706489145755768
68438	485	10.507595677689167
71468	459	10.392954513944904
74632	435	10.248454608851652
77936	412	10.139834115819204
81386	390	10.013877678199552
84990	369	9.866034837192704
88752	350	9.788816026681086
92682	331	9.644110671508997
96785	314	9.525691063224057
101070	297	9.403719361085543
105545	282	9.31284931404675
110218	267	9.234795420420804
115098	253	9.107720645276542
120194	239	9.043522281934305
125515	227	8.92644019415339
131072	215	8.833739524663882
136875	203	8.754472969386146
142935	193	8.682161082313764
149263	182	8.642345176848035
155872	173	8.570815626991404
162773	164	8.423451715564381
169979	155	8.352924811015553
177505	147	8.27776506056072
185364	139	8.218876365211964
193571	132	8.196289929167014
202141	125	8.09522537238858
211090	118	8.013924215793573
220436	112	7.951250589740331
230195	106	7.913024068601395
240387	100	7.876046500018723
251030	95	7.788100646389511
262144	90	7.730943213568794
273750	85	7.676126736502818
285870	81	7.635181449566778
298527	76	7.586192194905055
311744	72	7.527930146387921
325546	69	7.498886508347136
339959	65	7.445505804206706
355010	61	7.397565434545601
370728	58	7.393415443909431
387141	55	7.324232303429029
404281	52	7.281934756727659
422180	49	7.246951247219245
440872	47	7.209255844220527
460391	44	7.183113276639755
480774	42	7.150919440022012
502060	40	7.1199162450703115
524288	38	7.074245452880859
547500	36	7.0545284119736165
571740	34	7.028036499519526
597053	32	6.979225253034486
623487	30	6.973980585534794
651091	29	6.966300330177905
679917	27	6.953408637731871
710020	26	6.899704071174593
741455	24	6.862602304477907
774282	23	6.84764381430291
808563	22	6.837626078048903
844361	20	6.8207102767655075
881744	19	6.794265324414487
920782	18	6.758941071586736
961548	17	6.752166237334455
1004120	16	6.739198004222604
1048576	16	6.72817462682724
1095000	16	6.674474372146119
1143480	16	6.658047090897961
1194106	16	6.648429452661656
1246974	16	6.656720789687677
1302182	16	6.641316795578497
1359835	16	6.6340310589152365
1420040	16	6.621252086208838
1482910	16	6.607958591553095
1548564	16	6.607944844384863
1617125	16	6.577220414315529
1688722	16	6.556875295341684
1763488	16	6.556453283209184
1841564	16	6.539832955846226
1923097	16	6.528282667228954
2008240	16	6.52241791942198
2097152	16	6.506172388792038
2190001	16	6.515685095577584
2286960	16	6.495703466610698
2388213	16	6.485640544834149
2493948	16	6.477267644513839
2604365	16	6.476288701852467
2719670	16	6.461363304187641
2840080	16	6.4574343856511085
2965821	16	6.453358193228789
3097129	16	6.439927570824463
3234251	16	6.436231390977385
