START JOB HllUpdateSpeedProfile
Date Time: 2025/02/13 19:04:37 PST
InU	Trials	nS/Set
1	16777216	9.46637898683548
2	16777216	5.161924332380295
3	16777216	4.074277758512198
4	16777216	4.643222987651825
5	16777216	4.859200537551015
6	16777216	5.72760853149312
7	16777216	5.994644854199852
8	16777216	9.570609740912914
9	16777216	8.931371225186082
10	16777216	7.606998365888446
11	16777216	7.976331326608476
12	16777216	8.102135331818772
13	16777216	7.976692525402143
14	16777216	8.491649058378526
15	16777216	8.718780914269486
16	16777216	8.949546296149492
17	15552804	9.246804596627321
18	14480356	9.534550846243572
19	13534053	9.916066439236163
20	12693529	10.122314673238707
21	11942513	10.50550730759243
22	11267862	10.527322203019423
23	10658843	11.098003988909637
24	10106617	11.114747312057835
25	9603838	16.025292217567465
26	9144357	15.605192023985786
27	8722985	15.862596811788984
28	8335321	15.295752519127086
29	7977602	15.578162169053524
31	7339521	15.181068681773077
32	7053950	15.44191804325945
33	6787775	15.108357982282655
35	6306447	15.459886697669905
36	6088239	15.052342826803617
38	5690368	15.453689527402847
40	5336971	15.086549837912616
41	5174758	15.528446301999628
43	4875670	15.19316417879784
45	4606321	15.561455158970908
47	4362621	15.656586419533838
49	4141186	19.824392656118917
52	3844728	19.577277968687696
54	3667563	18.95184464531682
56	3504570	19.177715383738345
59	3283256	18.43149463708878
61	3149253	18.68035850605324
64	2965820	18.168368834335865
67	2800763	18.300984389300577
70	2651534	17.859473658928678
73	2516032	18.073441701624617
76	2392505	17.752057329225714
79	2279481	17.85812241776605
83	2143000	17.492917743191615
87	2020555	17.718791761377908
91	1910152	17.46143326883182
95	1810153	17.182203126952302
99	1719197	21.72430810033602
103	1636150	21.056393504651666
108	1542020	21.02671865115118
112	1473490	20.37469851090018
117	1395203	20.45299001341605
123	1310655	19.837548171938845
128	1246974	19.809824942971947
134	1177575	19.219328622776647
140	1114833	19.358980537906394
146	1057861	18.888934608058726
152	1005924	18.931088926532958
159	950875	18.929987847966675
166	901020	18.42847380062869
173	855681	18.638552102621947
181	808670	18.653561208539735
189	766112	18.17907545091942
197	727423	22.508109320319463
206	687916	21.689343470580063
215	652111	21.753873611129364
225	616086	20.87896595244466
235	583492	20.991822674178795
245	553875	20.337416712502737
256	524288	20.451861388981342
267	497428	19.7031735743107
279	470830	19.881541580239766
292	444775	19.848874827441776
304	422939	19.216705888334378
318	399793	18.928151694261707
332	378832	19.354234985930233
347	358474	18.81640704040885
362	340004	18.675331094582212
378	322110	18.657702452674727
395	304876	22.93074671903255
412	289233	21.818981548746876
431	273384	21.699994103294753
450	259032	20.577883067210674
470	245328	20.489898959402307
490	232876	19.373924986267426
512	220435	19.30782306150339
535	208654	18.469403158953398
558	197959	18.748526725985695
583	187406	18.241770781216594
609	177459	17.733023038019358
636	168092	17.25135305135983
664	159279	16.873818735651838
693	150991	16.440411894235737
724	142954	16.014386896236623
756	135430	15.711875841677562
790	128184	15.353810770035144
825	121423	15.050837305796165
861	115110	14.675255582924537
899	109061	14.372577534880639
939	103285	14.094247505132728
981	97787	13.879207514695336
1024	92681	13.618977715311795
1069	87830	13.393495247164147
1117	83138	12.670996834485521
1166	78794	12.410693074165186
1218	74612	12.28212322850223
1272	70674	12.08083354824464
1328	66968	11.936347993216675
1387	63427	11.760885482357448
1448	60104	11.605341809004473
1512	56941	11.482335784025704
1579	53937	11.311104387812428
1649	51090	11.248942584703613
1722	48398	11.159280273767651
1798	45854	11.087983245949411
1878	43426	10.995133851635142
1961	41140	10.930609141258621
2048	38967	10.926124000456316
2139	36906	10.910931938910691
2233	34975	10.789604102732417
2332	33129	10.803709065042373
2435	31386	10.701385464504012
2543	29729	10.673608286425793
2656	28156	10.66255085960361
2774	26667	10.648161121129334
2896	25270	10.68736319025263
3025	23931	10.738680096462266
3158	22677	10.711567433648328
3298	21481	10.75562749982922
3444	20348	10.75488800333028
3597	19272	10.810538621098598
3756	18258	10.902879940239044
3922	17297	10.927158992738686
4096	16384	10.984812512993813
4277	15521	11.02190809477054
4467	14701	11.17976512549583
4664	13929	11.153557070918428
4871	13193	11.207214566031729
5087	12496	11.201531743942224
5312	11838	11.321102882767844
5547	11214	11.297318560792224
5793	10622	11.428716274776148
6049	10063	11.434741127589914
6317	9533	11.427348284068106
6597	9029	11.456865690703099
6889	8554	11.401148079335318
7194	8103	11.443169419605278
7512	7676	11.343986741241878
7845	7271	11.342501125725523
8192	6888	11.302870498993947
8555	6525	11.249606123102524
8933	6181	11.136407884158267
9329	5855	11.0867945368194
9742	5547	10.979705757747649
10173	5254	10.90873561164223
10624	4977	10.776117164559382
11094	4715	10.676442990498057
11585	4466	10.534245373039605
12098	4231	10.395621880851001
12634	4008	10.26825565664616
13193	3796	10.133025348643786
13777	3596	10.032814197672542
14387	3407	9.914868111068454
15024	3227	9.789226587733355
15689	3057	9.640841372162885
16384	2896	9.493290305796249
17109	2743	9.407326407313985
17867	2598	9.26961683740259
18658	2462	9.192196072117378
19484	2332	8.98303366653836
20347	2209	8.930036167647515
21247	2092	8.794540086235102
22188	1982	8.653958799376483
23170	1878	8.567825807581407
24196	1779	8.385572095267337
25268	1685	8.312242035410069
26386	1596	8.218413415863612
27554	1512	8.092213058878507
28774	1432	8.054107321825684
30048	1357	7.872338181778218
31379	1285	7.789553721459615
32768	1217	7.665902105627632
34219	1153	7.59933160487849
35734	1092	7.463558346561918
37316	1035	7.372204745163772
38968	980	7.343548631215987
40693	928	7.203578842459556
42495	879	7.054584056666775
44376	833	7.038151956293609
46341	789	6.9210961591304905
48393	747	6.872776636823721
50535	708	6.693998342034023
52773	671	6.624653300248403
55109	635	6.574779459976458
57549	602	6.504450490233682
60097	570	6.386926077694861
62757	540	6.3644688005882815
65536	512	6.300170868635178
68438	485	6.184742394576119
71468	459	6.146199716057392
74632	435	6.066424836408036
77936	412	6.004037355519989
81386	390	5.9379935565053525
84990	369	5.903382798741504
88752	350	5.836075066316412
92682	331	5.78473829657998
96785	314	5.642074905669501
101070	297	5.635737207835748
105545	282	5.6096734645469075
110218	267	5.4684598170884104
115098	253	5.5237401061285
120194	239	5.409908374766236
125515	227	5.3610109959302505
131072	215	5.363449593477471
136875	203	5.262112261286186
142935	193	5.294524758617956
149263	182	5.167161429714773
155872	173	5.184270434433826
162773	164	5.170527247807174
169979	155	5.059693825556059
177505	147	5.05268921235715
185364	139	4.969763594833981
193571	132	4.945923060413352
202141	125	4.961025422848407
211090	118	4.850148382367227
220436	112	4.933978407727023
230195	106	4.870120574557993
240387	100	4.748818446921006
251030	95	4.778783580071161
262144	90	4.756310992770725
273750	85	4.720610647327424
285870	81	4.608229070712017
298527	76	4.643835354397109
311744	72	4.577323460916649
325546	69	4.574338567171478
339959	65	4.519131153145843
355010	61	4.616067060683121
370728	58	4.569628099865391
387141	55	4.529294870485289
404281	52	4.499660984087038
422180	49	4.430358991860518
440872	47	4.490494177303549
460391	44	4.4463194427029515
480774	42	4.397385901741379
502060	40	4.407883270923795
524288	38	4.353751132362767
547500	36	4.378619076610857
571740	34	4.268636504869552
597053	32	4.321425034712162
623487	30	4.336495601886381
651091	29	4.2877677091485555
679917	27	4.305357151708986
710020	26	4.313437270456086
741455	24	4.25894721639659
774282	23	4.1950131527183165
808563	22	4.24831263499679
844361	20	4.217114066139958
881744	19	4.1491957684817935
920782	18	4.167615377170951
961548	17	4.22520285304652
1004120	16	4.189626800083656
1048576	16	4.185726225376129
1095000	16	4.171684760273973
1143480	16	4.144605447843426
1194106	16	4.09403431311793
1246974	16	4.075668378009485
1302182	16	4.06965966546919
1359835	16	4.057743724422448
1420040	16	4.101575307737811
1482910	16	4.060734130864315
1548564	16	4.05508579238572
1617125	16	4.03740074978743
1688722	16	4.03450901036405
1763488	16	4.039916170396396
1841564	16	4.036172412416837
1923097	16	4.088162089587785
2008240	16	4.008260684728917
2097152	16	4.064813286066055
2190001	16	3.9967768279557863
2286960	16	4.006206437803897
2388213	16	4.018900141025946
2493948	16	4.01622770903804
2604365	16	3.9839086255190805
2719670	16	3.9665696343674046
2840080	16	3.9776552949212696
2965821	16	3.9619027286205073
3097129	16	3.9928485784738057
3234251	16	3.944974914593827
3377443	16	3.9533096672541923
3526975	16	3.9142903444169574
3683128	16	3.9752732086693703
3846194	16	3.931144756348744
4016479	16	3.92016239534677
4194304	16	3.947291538119316
4380002	16	3.9324610753602394
4573921	16	3.9424564558504627
4776426	16	3.9244071953590396
4987896	16	3.917629610260519
5208729	16	3.916503947028153
5439339	16	3.9025977237307687
5680159	16	3.903903801372462
5931642	16	3.9291028205174894
6194258	16	3.907978748221336
6468501	16	3.900441597674639
6754886	16	3.9001953548882984
7053950	16	3.91065356998561
7366255	16	3.9109354668688496
7692387	16	3.88718371001095
8032959	16	3.8713821006057665
8388608	16	3.9246203303337097

PROPERTIES:
FileNameDateFormat=yyyyMMdd'_'HHmmssz
HLL_compact=true
HLL_offheap=false
HLL_tgtHllType=HLL8
HLL_useComposite=false
HLL_wrap=false
JobProfile=org.apache.datasketches.characterization.hll.HllUpdateSpeedProfile
LgK=12
OutputFileName=java11/BaseUpdateSpeedProfileHLL8.txt
OutputFileNameData=java11/BaseUpdateSpeedProfileHLL8.tsv
