START JOB HllUpdateSpeedProfile
Date Time: 2025/02/13 19:59:24 PST
InU	Trials	nS/Set
1	16777216	6.175230443477631
2	16777216	4.684313923120499
3	16777216	3.6911876002183273
4	16777216	3.2723662108182907
5	16777216	3.726394510129727
6	16777216	3.8212974768575996
7	16777216	3.3078558275849868
8	16777216	6.494072161614895
9	16777216	6.652700199352749
10	16777216	6.699544477428548
11	16777216	6.8604109833318905
12	16777216	7.072335974411363
13	16777216	7.2430809835831695
14	16777216	7.472765169838027
15	16777216	7.701326790112904
16	16777216	8.02095601707697
17	15552804	8.359124172329487
18	14480356	8.918050008479998
19	13534053	9.17745120763187
20	12693529	9.47760146907855
21	11942513	9.664813046275855
22	11267862	9.80950814308282
23	10658843	10.07243546210309
24	10106617	10.326141593570757
25	9603838	14.223172127464935
26	9144357	14.040499507923387
27	8722985	13.969477600406863
28	8335321	13.909333255622098
29	7977602	13.787755681621846
31	7339521	13.70430687056411
32	7053950	13.740222052006322
33	6787775	13.72301623321596
35	6306447	13.643840560395384
36	6088239	13.7093661512805
38	5690368	13.766918099104565
40	5336971	13.789643095297855
41	5174758	13.789080585119633
43	4875670	13.902782687587461
45	4606321	14.036094638028699
47	4362621	14.016559267672992
49	4141186	17.982150366250266
52	3844728	17.602629396890183
54	3667563	17.2786172491482
56	3504570	17.099840489186338
59	3283256	16.904785681416968
61	3149253	16.805397156051313
64	2965820	16.554477345219873
67	2800763	16.391930885501843
70	2651534	16.32509407235597
73	2516032	16.211410611304174
76	2392505	16.124916210319956
79	2279481	16.078429617503264
83	2143000	16.0973242222392
87	2020555	16.01937362889435
91	1910152	16.013170104356725
95	1810153	16.027408779434577
99	1719197	19.602396398289073
103	1636150	19.203564210104695
108	1542020	18.875271277198593
112	1473490	18.622297875538173
117	1395203	18.48070993269187
123	1310655	18.042477358799335
128	1246974	17.851995711217715
134	1177575	17.656742058699564
140	1114833	17.490084690421803
146	1057861	17.319777031826195
152	1005924	17.187936852869424
159	950875	17.085981528149386
166	901020	17.022414248971376
173	855681	16.98806988155162
181	808670	16.87113767799539
189	766112	16.849095261245306
197	727423	20.357200958562423
206	687916	19.95378996653917
215	652111	19.536516165222167
225	616086	19.20465890944682
235	583492	18.884688108897837
245	553875	18.680277687375433
256	524288	18.37905876338482
267	497428	18.119701693061966
279	470830	17.931867851462783
292	444775	17.794867945401748
304	422939	17.688194311264844
318	399793	17.544128064281736
332	378832	17.4027789952098
