START JOB HllUpdateSpeedProfile
Date Time: 2025/02/13 13:04:32 PST
InU	Trials	nS/Set
1	16777216	20.37118548154831
2	16777216	15.55500066280365
3	16777216	15.84640741200149
4	16777216	16.411460250616074
5	16777216	16.922817552081536
6	16777216	17.301124961957974
7	16777216	17.67537813003054
8	16777216	47.055568501353264
9	16777216	42.0711354391458
10	16777216	39.805691030009534
11	16777216	37.92972860211216
12	16777216	36.43149015900183
13	16777216	35.10900880679495
14	16777216	34.02185273076348
15	16777216	33.17768392874633
16	16777216	32.47464723140001
17	15552804	31.96566545730004
18	14480356	31.551944249200993
19	13534053	31.201561203915468
20	12693529	30.9649027698382
21	11942513	30.73828105798876
22	11267862	30.497435667426114
23	10658843	30.361765249210134
24	10106617	30.17197358973789
25	9603838	38.594993234941526
26	9144357	37.91282629643741
27	8722985	37.31217098890051
28	8335321	36.74715542501694
29	7977602	36.25085071148675
31	7339521	35.36670839191925
32	7053950	35.02504112057783
33	6787775	34.67118010189343
35	6306447	34.10717307437018
36	6088239	33.802073942170445
38	5690368	33.31857031842868
40	5336971	32.89564698310704
41	5174758	32.74288830807599
43	4875670	32.46688013371823
45	4606321	32.10826163075848
47	4362621	31.93772016282167
49	4141186	39.58315080679403
52	3844728	38.55528626074931
54	3667563	37.92927634889726
56	3504570	37.36017455657172
59	3283256	36.694735662582914
61	3149253	36.22903129045159
64	2965820	35.67082187641192
67	2800763	35.13184081634734
70	2651534	34.6296958018111
73	2516032	34.27442552271931
76	2392505	33.9302454571179
79	2279481	33.51753819958942
83	2143000	33.141054073697404
87	2020555	32.78974605186313
91	1910152	32.5157227803798
95	1810153	32.230067158443646
99	1719197	39.15718747299921
103	1636150	38.454589482388734
108	1542020	37.790576940474
112	1473490	37.19149159856031
117	1395203	36.62871410351208
123	1310655	35.86714677798149
128	1246974	35.448022610635824
134	1177575	34.85151509511412
140	1114833	34.46554314797336
146	1057861	34.049555718157855
152	1005924	33.63845075821627
159	950875	33.327298382070865
166	901020	32.93920820795779
173	855681	32.70394481397067
181	808670	32.410967513890526
189	766112	32.176517050546416
197	727423	38.945916064578995
206	687916	38.18787511282523
215	652111	37.57968305654003
225	616086	36.85994971123159
235	583492	36.32018963301957
245	553875	35.78937895619086
256	524288	35.19952016323805
267	497428	34.85940513952182
279	470830	34.3522860757294
292	444775	33.89246499116287
304	422939	33.600135909948506
318	399793	33.23003685066501
332	378832	32.96035224754604
347	358474	32.668470596284386
362	340004	32.43826767458633
378	322110	32.17951652783417
395	304876	69.03968552640075
412	289233	66.38346910590737
431	273384	65.19523271713092
450	259032	64.06003035228159
470	245328	63.07361011092454
490	232876	62.00705845557195
512	220435	61.10566496182265
535	208654	54.19732174780748
558	197959	49.423061952961525
583	187406	48.39793099065206
609	177459	48.16889624800982
636	168092	47.88390055227007
664	159279	47.08044702117526
693	150991	46.30347489819377
724	142954	45.52159126719896
756	135430	44.808327629385076
790	128184	44.11311610406488
825	121423	43.41275790442175
861	115110	42.808793265557156
899	109061	42.18467942326682
939	103285	41.519489178775245
981	97787	41.205436649443946
1024	92681	40.467268313152104
1069	87830	40.1344146523341
1117	83138	39.42493294523845
1166	78794	38.88965687107129
1218	74612	38.419484418440874
1272	70674	37.90606473865604
1328	66968	37.49941057085312
1387	63427	37.0498901319415
1448	60104	36.63993835638993
1512	56941	36.77378326205657
1579	53937	36.62843280569232
1649	51090	36.214496837349955
1722	48398	35.85045898461725
1798	45854	35.46398501691189
1878	43426	35.166129574864165
1961	41140	34.76599529423229
2048	38967	34.47573074151686
2139	36906	34.23614545597623
2233	34975	33.82129310584701
2332	33129	33.516677619740165
2435	31386	33.18841982280455
2543	29729	32.91220405242329
2656	28156	32.567728694649446
2774	26667	32.32567995477629
2896	25270	32.07042515419119
3025	23931	31.758211704379676
3158	22677	31.560277250948765
3298	21481	31.213746552335735
3444	20348	30.951463852428432
3597	19272	30.782976245828785
3756	18258	30.46800613231394
3922	17297	30.218044107302642
4096	16384	30.075970694422722
4277	15521	29.77001786457876
4467	14701	29.521911517740392
4664	13929	29.331164037367863
4871	13193	29.10651368639959
5087	12496	28.850781390992896
5312	11838	28.63243182753912
5547	11214	28.492153566572643
5793	10622	28.176543034963338
6049	10063	27.95568134014249
6317	9533	27.735513345815576
6597	9029	27.55821149150166
6889	8554	27.217290762470732
7194	8103	27.00732978457006
7512	7676	26.83998340192606
7845	7271	26.508493531713537
8192	6888	26.15589617685989
8555	6525	25.862442782894572
8933	6181	25.54491292590678
9329	5855	25.37650518904765
9742	5547	24.915570224501746
10173	5254	24.545860178111766
10624	4977	24.242679030619197
11094	4715	24.007883580799295
11585	4466	23.686950499829766
12098	4231	23.173157162617322
12634	4008	22.893259349592793
13193	3796	22.422843199969417
13777	3596	22.007205448651558
14387	3407	21.709790103575113
15024	3227	21.33009739937228
15689	3057	20.91466210665425
16384	2896	20.558614994280905
17109	2743	20.202539391285114
17867	2598	19.87197360205745
18658	2462	19.52113645255453
19484	2332	19.29682889738798
20347	2209	18.82380973051037
21247	2092	18.511890352577947
22188	1982	18.203017349038397
23170	1878	17.895111719967645
24196	1779	17.569624369875726
25268	1685	17.341100835247897
26386	1596	17.00604465856521
27554	1512	16.7900136355624
28774	1432	16.449598401800507
30048	1357	16.188304362737128
31379	1285	15.974259173307669
32768	1217	15.775785798799237
34219	1153	15.569661661214058
35734	1092	15.371274107974447
37316	1035	15.189046078847163
38968	980	14.963977978791613
40693	928	14.767136356163924
42495	879	14.634963733269299
44376	833	14.370073096842836
46341	789	14.113611777836132
48393	747	13.88542832223377
50535	708	13.689555960264737
52773	671	13.465066460310858
55109	635	13.270829992900248
57549	602	13.067891963682069
60097	570	12.893342196198015
62757	540	12.713152229144864
65536	512	12.562902957201004
68438	485	12.430840827260928
71468	459	12.272893375928383
74632	435	12.148180774817872
77936	412	12.04607517769123
81386	390	11.863347252441194
84990	369	11.702590421127175
88752	350	11.549716674392842
92682	331	11.398185270610846
96785	314	11.272812547609465
101070	297	11.120802530765928
105545	282	10.977000096426215
110218	267	10.859892818474894
115098	253	10.729801041861766
120194	239	10.607664784330876
125515	227	10.507001936163975
131072	215	10.388474788222203
136875	203	10.29801701419349
142935	193	10.221746505667364
149263	182	10.102944997225572
155872	173	10.016076478343575
162773	164	9.922389185418025
169979	155	9.831899196655982
177505	147	9.730232836212146
185364	139	9.67882543838691
193571	132	9.558403869663044
202141	125	9.489209729842038
211090	118	9.375959366677082
220436	112	9.290855679199401
230195	106	9.223634924778706
240387	100	9.169474597211996
251030	95	9.079807068561736
262144	90	9.000720002916124
273750	85	8.946364071984961
285870	81	8.901463757807552
298527	76	8.835680163285945
311744	72	8.788331086119094
325546	69	8.72531943436476
339959	65	8.681980157335717
355010	61	8.61280873639671
370728	58	8.580511532202436
387141	55	8.498444283043693
404281	52	8.459764038835896
422180	49	8.400594194757822
440872	47	8.348515736511356
460391	44	8.30900078806532
480774	42	8.274387213316938
502060	40	8.218408955104966
524288	38	8.184035752948962
547500	36	8.141470065956367
571740	34	8.110910862403516
597053	32	8.08057246383487
623487	30	8.056848284994981
651091	29	7.997498257434111
679917	27	7.980873754797631
710020	26	7.953901840251519
741455	24	7.921265788213714
774282	23	7.912894111268078
808563	22	7.894860781635838
844361	20	7.849663769406687
881744	19	7.796893429385399
920782	18	7.767320905249862
961548	17	7.750795836811181
1004120	16	7.718577211887025
1048576	16	7.688673913478851
1095000	16	7.681518664383562
1143480	16	7.665293227690908
1194106	16	7.638213075304873
1246974	16	7.622266683186657
1302182	16	7.59184876806775
1359835	16	7.581922806811121
1420040	16	7.706227201346442
1482910	16	7.555651725323855
1548564	16	7.531909118706105
1617125	16	7.507980984772358
1688722	16	7.487482323911218
1763488	16	7.48301434429948
1841564	16	7.476605992243549
1923097	16	7.447151099242523
2008240	16	7.431356685455923
2097152	16	7.422814697027206
2190001	16	7.419372068779877
2286960	16	7.401054921161716
2388213	16	7.383786381281736
2493948	16	7.376645934478185
2604365	16	7.371743616006205
2719670	16	7.353690705122313
2840080	16	7.351519609482831
2965821	16	7.345108129418464
3097129	16	7.336674606546901
3234251	16	7.3337240214194885
3377443	16	7.31115919276802
3526975	16	7.295084527108925
3683128	16	7.294551872755983
3846194	16	7.2784290294509315
4016479	16	7.273197712474035
4194304	16	7.2642024755477905
4380002	16	7.257843061487187
4573921	16	7.24861758379736
4776426	16	7.246404882541883
4987896	16	7.248645458425757
5208729	16	7.235324334880928
5439339	16	7.23391074034915
5680159	16	7.223082146556109
5931642	16	7.220664762809354
6194258	16	7.214024010220434
6468501	16	7.2065990636779675
6754886	16	7.205765593231329
7053950	16	7.195990003827642
7366255	16	7.1952967450896015
7692387	16	7.1946397457642215
8032959	16	7.1872449180930715
8388608	16	7.178727529942989

PROPERTIES:
FileNameDateFormat=yyyyMMdd'_'HHmmssz
HLL_compact=true
HLL_offheap=true
HLL_tgtHllType=HLL4
HLL_useComposite=false
HLL_wrap=false
JobProfile=org.apache.datasketches.characterization.hll.HllUpdateSpeedProfile
LgK=12
OutputFileName=java8/BaseUpdateSpeedProfileHLL4-offheap.txt
OutputFileNameData=java8/BaseUpdateSpeedProfileHLL4-offheap.tsv
ReadableDateFormat=yyyy/MM/dd HH:mm:ss z
TimeZone=PST
TimeZoneOffset=-28800000
Trials_lgMaxBpU=20
Trials_lgMaxT=24
Trials_lgMaxU=23
Trials_lgMinBpU=4
Trials_lgMinT=4
Trials_lgMinU=0
Trials_UPPO=16

Total Job Time: 0:15:50.481
END JOB HllUpdateSpeedProfile


