START JOB HllUpdateSpeedProfile
Date Time: 2025/02/13 20:07:28 PST
InU	Trials	nS/Set
1	16777216	11.633353471755981
2	16777216	13.836075127124786
3	16777216	15.590020078987354
4	16777216	16.032523721456528
5	16777216	16.53107124522402
6	16777216	17.052810184190417
7	16777216	17.569329682246448
8	16777216	74.24155733734369
9	16777216	44.30702958244068
10	16777216	41.747462074044016
11	16777216	39.68693041980265
12	16777216	38.07295027888952
13	16777216	36.591839049442996
14	16777216	35.399282843505226
15	16777216	34.52376518008764
16	16777216	33.73134366795421
17	15552804	33.12557167884964
18	14480356	33.06757311091299
19	13534053	32.29706815962562
20	12693529	31.91836913556144
21	11942513	31.600979608895006
22	11267862	31.364877415392833
23	10658843	31.154730027715736
24	10106617	30.93610314897125
25	9603838	39.45867028155917
26	9144357	38.592846229245055
27	8722985	38.033156645888035
28	8335321	37.405883676762315
29	7977602	36.857012922568785
31	7339521	35.927730698239465
32	7053950	35.514189975120324
33	6787775	35.13277391865612
35	6306447	34.58116526025662
36	6088239	34.20113247945473
38	5690368	33.75695971130642
40	5336971	33.31022999748523
41	5174758	33.10635513641063
43	4875670	32.84115655621412
45	4606321	32.411275660663215
47	4362621	32.271573913473084
49	4141186	39.86896507383198
52	3844728	38.773350411428105
54	3667563	38.160582860695385
56	3504570	37.54306062173975
59	3283256	36.84362499590998
61	3149253	36.40112282676709
64	2965820	35.78297268967773
67	2800763	35.29163171884157
70	2651534	34.73750144515121
73	2516032	34.383963945839305
76	2392505	33.939263334088
79	2279481	33.67523857646238
83	2143000	33.24090477276843
87	2020555	32.99713658405792
91	1910152	32.66306418753177
95	1810153	32.42996067727188
99	1719197	39.34557591744979
103	1636150	38.763888063806526
108	1542020	37.96613969442889
112	1473490	37.506108057053055
117	1395203	36.88255217043184
123	1310655	36.26470822193126
128	1246974	35.70368316996786
134	1177575	35.17263540909623
140	1114833	34.74413659135627
146	1057861	34.3040630269282
152	1005924	33.99125364210908
159	950875	33.57659337600074
166	901020	33.28503048620169
173	855681	32.99833576768039
181	808670	32.70190813276722
189	766112	32.50053639903629
197	727423	39.18529466199248
206	687916	38.53370465416028
215	652111	37.808298145012955
