START JOB HllUpdateSpeedProfile
Date Time: 2025/02/13 15:20:39 PST
InU	Trials	nS/Set
1	16777216	19.34984701871872
2	16777216	15.967817783355713
3	16777216	15.020131407883875
4	16777216	15.62525887787342
5	16777216	16.172256671622495
6	16777216	16.62332084023391
7	16777216	17.096370027340683
8	16777216	46.23726747184992
9	16777216	41.61852660305477
10	16777216	39.36352501067767
11	16777216	37.53017007296118
12	16777216	36.02397097765845
13	16777216	34.85111498372313
14	16777216	33.7720845413419
15	16777216	33.017103858791174
16	16777216	32.13323274627328
17	15552804	31.542603030390527
18	14480356	31.13672071815992
19	13534053	30.723255609097887
20	12693529	30.47279448428502
21	11942513	30.271542688110813
22	11267862	30.025380325036572
23	10658843	29.90291755207425
24	10106617	29.88476667030997
25	9603838	38.103104288042
26	9144357	37.49178084053751
27	8722985	36.97574711484516
28	8335321	36.377378411511295
29	7977602	35.88006199233553
31	7339521	35.02018310158434
32	7053950	34.71797502640364
33	6787775	34.345444822022344
35	6306447	33.841691045820525
36	6088239	33.57815791706663
38	5690368	33.01479378037109
40	5336971	32.67871593736871
41	5174758	32.511729597028825
43	4875670	32.22394297964702
45	4606321	31.907366189659506
47	4362621	31.741525368243604
49	4141186	39.17599444526104
52	3844728	38.187465772294786
54	3667563	37.6306309251061
56	3504570	37.579933032753566
59	3283256	35.36579630540825
61	3149253	33.74368597773366
64	2965820	33.36182290015915
67	2800763	32.97152256770624
70	2651534	32.73071652104525
73	2516032	32.81379241855597
76	2392505	32.29780371678311
79	2279481	32.0870739233726
83	2143000	32.04506147241185
87	2020555	31.56675009388172
91	1910152	31.379168438485298
95	1810153	31.686976677919425
99	1719197	38.132081801180234
103	1636150	37.43523465138343
108	1542020	36.69802653646623
112	1473490	36.30056065885648
117	1395203	35.67700948659008
123	1310655	35.193600196216046
128	1246974	34.70725428366991
134	1177575	34.25023898406268
140	1114833	33.89911480013761
146	1057861	33.41919865091544
152	1005924	33.21806895539815
159	950875	32.72805527511356
166	901020	32.51157893875671
173	855681	32.33494976553559
181	808670	31.933846810877785
189	766112	31.858368712890698
197	727423	38.41388727294902
206	687916	37.74659603679045
215	652111	37.14220958175135
225	616086	36.503869632912696
235	583492	36.003246200321044
245	553875	35.435352970449735
256	524288	34.96485152840614
267	497428	34.577132236327934
279	470830	34.04096646376504
292	444775	33.67403631050642
304	422939	33.36775290549552
318	399793	32.98938941467788
332	378832	32.74864152037854
347	358474	32.47570561631567
362	340004	32.13733879698733
378	322110	31.976615525697756
395	304876	58.39534599748583
412	289233	56.99642771301261
431	273384	55.71102752006229
450	259032	54.48906138577142
470	245328	53.32445814620742
490	232876	52.32131177106011
512	220435	51.27691086126579
535	208654	47.8340245878546
558	197959	45.34661092796186
583	187406	44.31679842824282
609	177459	43.73943848878381
636	168092	43.13276353080513
664	159279	42.24567944805681
693	150991	41.53168749113378
724	142954	40.71851852124316
756	135430	39.98016914181875
790	128184	39.29922333757232
825	121423	38.62996763381884
861	115110	37.94249438327383
899	109061	37.39189061352808
939	103285	36.79690140544762
981	97787	36.19998934212419
1024	92681	35.62044281721375
1069	87830	35.23829100714764
1117	83138	34.62521617097976
1166	78794	34.087432115030296
1218	74612	33.62350923357814
1272	70674	33.21094840550283
1328	66968	32.7841053805811
1387	63427	32.292225105843094
1448	60104	31.90880836476637
1512	56941	32.10255780627916
1579	53937	31.988164563205615
1649	51090	31.58976696138162
1722	48398	31.21493567971008
1798	45854	30.87523361495446
1878	43426	30.50416821839881
1961	41140	30.191638556123902
2048	38967	29.846571034364814
2139	36906	29.573450126014134
2233	34975	29.267006495267708
2332	33129	28.981326711994114
2435	31386	28.743819181469313
2543	29729	28.49720703525802
2656	28156	28.20059365355542
2774	26667	27.955203524989603
2896	25270	27.714198629935126
3025	23931	27.512649984407947
3158	22677	27.28416356664295
3298	21481	27.072202721408697
3444	20348	26.837822155813786
3597	19272	26.615272857218084
3756	18258	26.429256870315772
3922	17297	26.26711252142108
4096	16384	26.057885229587555
4277	15521	25.890148303375746
4467	14701	25.714248821676755
4664	13929	25.520353327651016
4871	13193	25.342291781335156
5087	12496	25.178035174519184
5312	11838	25.002288423841957
5547	11214	24.848843302152524
5793	10622	24.68005637147787
6049	10063	24.51492423652729
6317	9533	24.31680721281082
6597	9029	24.136735027901683
6889	8554	23.93806046941018
7194	8103	23.70773118108786
7512	7676	23.48517341855254
7845	7271	23.278807952070125
8192	6888	23.01693511147671
8555	6525	22.807014391888455
8933	6181	22.51706794652949
9329	5855	22.251633451751726
9742	5547	21.977369384121495
10173	5254	21.678319993686628
10624	4977	21.406898464866078
11094	4715	21.04586383284771
11585	4466	20.743357600832304
12098	4231	20.502980055068257
12634	4008	20.145173599294985
13193	3796	19.79035264893245
13777	3596	19.54356495482673
14387	3407	19.153325464283867
15024	3227	18.877170208072013
15689	3057	18.522415074345467
16384	2896	18.20117141133514
17109	2743	17.91713907783523
17867	2598	17.593363684185544
18658	2462	17.316867800145253
19484	2332	16.991682228246948
20347	2209	16.676639147370953
21247	2092	16.386537260327184
22188	1982	16.10865797404695
23170	1878	15.82173250177071
24196	1779	15.552808681322874
25268	1685	15.289710352498961
26386	1596	15.007914811853428
27554	1512	14.79930659488075
28774	1432	14.50310988873801
30048	1357	14.247855678519363
31379	1285	14.014204126455496
32768	1217	13.778622604533112
34219	1153	13.551433781696998
35734	1092	13.325126581409103
37316	1035	13.087623705208888
38968	980	12.897157610221257
40693	928	12.679085410987366
42495	879	12.461143698763467
44376	833	12.26246926569438
46341	789	12.086385082381947
48393	747	11.885956239978624
50535	708	11.683150571372177
52773	671	11.506893809419038
55109	635	11.323950773006343
57549	602	11.14589453713545
60097	570	10.982008589038367
62757	540	10.811709185163936
65536	512	10.666340857744217
68438	485	10.502412357275448
71468	459	10.365188655513567
74632	435	10.210511869427064
77936	412	10.075260812705663
81386	390	9.934110950853382
84990	369	9.803955255695636
88752	350	9.67075568518376
92682	331	9.550607831567273
96785	314	9.423168793922041
101070	297	9.31433786431312
105545	282	9.191988694950123
110218	267	9.079159157714201
115098	253	8.967155021769733
120194	239	8.872656047061431
125515	227	8.76009368274954
131072	215	8.666019350983376
136875	203	8.56998627887622
142935	193	8.480359002271225
149263	182	8.39148194281751
155872	173	8.30469353541011
162773	164	8.221057216746399
169979	155	8.139582289956502
